source,interview_id,family,probe_level,claim,question,phrase,matched_term,sub_type_guess,definite,tool_level_guess,question_numerals,validator_verdict,validator_rules
P3,s_028ee587fb,bpo_operations,OPERATIONAL,Managed rosters for 42 agents across three shifts,What specific steps did you take in the system to adjust rosters for unexpected absences?,system to adjust rosters,system,invented_tool,1,generally_entailed,,reject,duplicate_content
P3,s_028ee587fb,bpo_operations,OPERATIONAL,Managed rosters for 42 agents across three shifts,What specific steps did you take in the system to adjust rosters during unexpected absences?,system to adjust rosters,system,invented_tool,1,generally_entailed,,reject,duplicate_content
P3,s_028ee587fb,bpo_operations,OPERATIONAL,Managed rosters for 42 agents across three shifts,"On ""Managed rosters for 42 agents across three shifts"" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,generally_entailed,42,not_evaluated,
P3,s_94cebba73f,bpo_operations,OUTCOME,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you measure the improvement in confidence and performance of new hires by the end of nesting?,improvement in confidence and,improvement,invented_outcome,1,,,reject,duplicate_content
P3,s_94cebba73f,bpo_operations,OUTCOME,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you measure the improvement in new hires' confidence before moving to the production floor?,improvement in new hires,improvement,invented_outcome,1,,,accept,
P3,s_24976b10e3,bpo_operations,OPERATIONAL,Reported CX metrics to the client every Monday.,What steps did you take in the system to prepare the CX report?,system to prepare the,system,invented_tool,1,specifically_unentailed,,accept,
P3,s_4be968d6fc,bpo_operations,OPERATIONAL,Ran workforce planning for a 24x7 contact centre.,What specific tasks did you perform daily in the workforce planning system?,workforce planning system,system,invented_tool,1,generally_entailed,,accept,
P3,s_b7703082e5,customer_support,INCIDENT,Cut first response time from 9 hours to under 2.,Describe a specific incident when reducing response time didn’t go as planned.,specific incident when reducing,incident,invented_event,0,,,accept,
P3,s_b7703082e5,customer_support,OPERATIONAL,Cut first response time from 9 hours to under 2.,What specific actions did you take in the ticketing system to reduce response time?,ticketing system to reduce,ticketing system,invented_tool,1,generally_entailed,,accept,
P3,s_b7703082e5,customer_support,OUTCOME,Cut first response time from 9 hours to under 2.,How did you measure the reduction in response time from 9 hours to under 2?,reduction in response time,reduction,invented_outcome,1,,2 9,reject,answer_leakage
P3,s_b7703082e5,customer_support,OUTCOME,Cut first response time from 9 hours to under 2.,How did you measure the improvement in response time after implementing changes?,improvement in response time,improvement,invented_outcome,1,,,accept,
P3,s_46151c60a4,customer_support,INCIDENT,Led the escalation desk for a SaaS product.,Describe a specific incident where a P1 issue wasn't resolved in 2 hours.,2 hours,2 hours,invented_condition,1,,1 2,reject,no_claim_anchor
P3,s_46151c60a4,customer_support,INCIDENT,Led the escalation desk for a SaaS product.,Describe a specific incident where a P1 issue wasn't resolved in 2 hours.,specific incident where a,incident,invented_event,0,,1 2,reject,no_claim_anchor
P3,s_46151c60a4,customer_support,INCIDENT,Led the escalation desk for a SaaS product.,Describe a specific P1 issue that took longer than 2 hours to resolve.,longer than 2 hours,longer than 2 hours,invented_condition,1,,1 2,reject,no_claim_anchor
P3,s_46151c60a4,customer_support,OPERATIONAL,Led the escalation desk for a SaaS product.,What specific actions did you take in the system to prioritize P1 issues?,system to prioritize P1,system,invented_tool,1,generally_entailed,1,reject,scope_drift
P3,s_46151c60a4,customer_support,INCIDENT,Ran the chat support queue.,Describe a specific incident when you struggled to manage the chat support queue effectively.,specific incident when you,incident,invented_event,0,,,accept,
P3,s_46151c60a4,customer_support,OPERATIONAL,Ran the chat support queue.,"On ""Ran the chat support queue."" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,generally_entailed,,not_evaluated,
P3,s_4bdb4bb3ec,customer_support,INCIDENT,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",Describe a specific incident when handling an account went wrong. What happened?,specific incident when handling,incident,invented_event,0,,,accept,
P3,s_df85adf28b,customer_support,OPERATIONAL,Reduced reopen rate by a third.,What specific steps did you take each day to monitor and adjust the macros?,macros,macros,invented_tool,1,specifically_unentailed,,accept,
P3,s_df85adf28b,customer_support,OUTCOME,Wrote macros for the top ten issue types.,How did you calculate the 30% reopen rate before implementing macros?,reopen rate,reopen rate,invented_metric,0,,30%,accept,
P3,s_b260f22a77,customer_support,INCIDENT,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,Describe a specific incident when your team struggled to meet ticket volume demands.,specific incident when your,incident,invented_event,0,,,accept,
P3,s_f55c0852ff,sales,OPERATIONAL,Carrying a quota of $1.2M ARR.,What specific actions did you take in your CRM each day to manage your pipeline?,CRM each day to,crm,invented_tool,1,generally_entailed,,reject,no_claim_anchor
P3,s_f55c0852ff,sales,OPERATIONAL,Carrying a quota of $1.2M ARR.,How did you use your CRM system daily to manage your $1.2M ARR quota?,CRM system daily to,crm,invented_tool,1,generally_entailed,1.2,reject,answer_leakage
P3,s_f55c0852ff,sales,OPERATIONAL,Carrying a quota of $1.2M ARR.,"On ""Carrying a quota of $1.2M ARR."" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,generally_entailed,1.2,not_evaluated,
P3,s_f55c0852ff,sales,OPERATIONAL,Built pipeline through outbound prospecting and closed 34 deals last year.,How did you use the CRM system to track interactions daily?,CRM system to track,crm,invented_tool,1,generally_entailed,,reject,no_claim_anchor
P3,s_f55c0852ff,sales,OPERATIONAL,Built pipeline through outbound prospecting and closed 34 deals last year.,How did you use the CRM to track interactions and schedule follow-ups for closing deals?,CRM to track interactions,crm,invented_tool,1,generally_entailed,,accept,
P3,s_f55c0852ff,sales,OUTCOME,Built pipeline through outbound prospecting and closed 34 deals last year.,What specific action led to closing the most valuable deal and what was the impact?,impact,impact,invented_outcome,1,,,accept,
P3,s_d6c10492f2,sales,OPERATIONAL,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,What specific tasks did you perform daily in the CRM to manage your leads?,CRM to manage your,crm,invented_tool,1,generally_entailed,,accept,
P3,s_b920556961,sales,OPERATIONAL,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",What specific actions did you take daily in the CRM to manage the sales funnel?,CRM to manage the,crm,invented_tool,1,generally_entailed,,accept,
P3,s_48029dec30,sales,OPERATIONAL,Owned a pipeline of 80 prospects and hit quota six quarters running.,What specific actions did you take in the CRM each day to manage your pipeline?,CRM each day to,crm,invented_tool,1,generally_entailed,,accept,
P3,s_54a9368e5b,sales,VALIDATION,Grew ARR from $400K to $1.1M,How long did it take to achieve the growth in ARR?,growth in ARR,growth,invented_outcome,1,,,accept,
P3,s_54a9368e5b,sales,OUTCOME,Grew ARR from $400K to $1.1M,How did you measure the improvement in conversion rates?,conversion rates,conversion rates,invented_metric,0,,,accept,
P3,s_54a9368e5b,sales,OUTCOME,Grew ARR from $400K to $1.1M,How did you measure the improvement in conversion rates?,improvement in conversion rates,improvement,invented_outcome,1,,,accept,
P3,s_54a9368e5b,sales,OUTCOME,Coached four inside sales reps on closing technique,How did you capture the jump in conversion rates from 15% to 25%?,conversion rates,conversion rates,invented_metric,0,,15% 25%,reject,duplicate_content
P3,s_54a9368e5b,sales,OUTCOME,Coached four inside sales reps on closing technique,How did you capture the jump in conversion rates from 15% to 25%?,jump in conversion rates,jump,invented_outcome,1,,15% 25%,reject,duplicate_content
P3,s_54a9368e5b,sales,OUTCOME,Coached four inside sales reps on closing technique,How did you ensure the increase in conversion rate was due to your coaching?,conversion rate,conversion rate,invented_metric,0,,,accept,
P3,s_9e729838a7,sales,OPERATIONAL,"Pricing approvals, quota planning and revenue forecast reviews for the field sales org.",What specific actions did you perform in the system for revenue forecast reviews?,system for revenue forecast,system,invented_tool,1,generally_entailed,,accept,
P3,s_9e729838a7,sales,OPERATIONAL,Ran the deal desk.,"On ""Ran the deal desk."" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,generally_entailed,,not_evaluated,
P3,s_9e729838a7,sales,OUTCOME,Ran the deal desk.,How did you measure the success of deals closed and what metrics showed improvement?,success of deals closed,success,invented_outcome,1,,,accept,
P3,s_39775f17f9,banking_operations,OUTCOME,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",How did you measure the success of your CASA growth strategies?,success of your CASA,success,invented_outcome,1,,,reject,duplicate_content
P3,s_39775f17f9,banking_operations,OUTCOME,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",How did you measure the success of your CASA growth strategies?,success of your CASA,success,invented_outcome,1,,,reject,duplicate_content
P3,s_59521eb183,banking_operations,OUTCOME,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",How did you measure success in NPA recovery and what were the results?,results,results,invented_outcome,1,,,accept,
P3,s_89a77ba5c5,banking_operations,OPERATIONAL,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What specific tasks did you perform in the systems for processing claims?,systems for processing claims,systems,invented_tool,1,generally_entailed,,accept,
P3,s_66a0c936c4,banking_operations,OPERATIONAL,Ran KYC audits and reported exceptions to the risk committee.,What specific tasks did you perform in the system during a KYC audit?,system during a KYC,system,invented_tool,1,generally_entailed,,accept,
P3,s_66a0c936c4,banking_operations,OUTCOME,Ran KYC audits and reported exceptions to the risk committee.,What impact did freezing the client's account have on your compliance metrics?,compliance metrics,metrics,invented_metric,1,,,accept,
P3,s_92da7c8747,banking_operations,OUTCOME,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.","What was the result of resolving discrepancies before month-end, and how did it impact your team's performance?",result of resolving discrepancies,result,invented_outcome,1,,,accept,
P3,s_5edcc30692,software_engineering,OUTCOME,Built REST APIs on Postgres and deployed to Kubernetes on AWS.,How did you measure the performance improvement after deploying the APIs on AWS?,performance improvement after deploying,improvement,invented_outcome,1,,,accept,
P3,s_f13fc04da1,software_engineering,VALIDATION,Cut p95 latency from 900ms to 180ms.,How long did it take to achieve the latency reduction?,latency reduction,reduction,invented_outcome,1,,,accept,
P3,s_f13fc04da1,software_engineering,INCIDENT,Cut p95 latency from 900ms to 180ms.,Describe a specific incident where a change you made caused unexpected latency issues.,specific incident where a,incident,invented_event,0,,,reject,multiple_fact_targets
P3,s_f13fc04da1,software_engineering,INCIDENT,Cut p95 latency from 900ms to 180ms.,Describe a specific incident where a caching change caused unexpected issues.,specific incident where a,incident,invented_event,0,,,accept,
P3,s_f13fc04da1,software_engineering,OUTCOME,Cut p95 latency from 900ms to 180ms.,How did you measure the latency improvement from 900ms to 180ms?,latency improvement from,improvement,invented_outcome,1,,180 900,reject,answer_leakage
P3,s_f13fc04da1,software_engineering,OUTCOME,Cut p95 latency from 900ms to 180ms.,How did you measure the improvement in latency from 900ms to 180ms?,improvement in latency from,improvement,invented_outcome,1,,180 900,reject,answer_leakage
P3,s_8d3e8a68ae,software_engineering,OUTCOME,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",How did you measure the success of the event pipelines after implementation?,success of the event,success,invented_outcome,1,,,reject,duplicate_content
P3,s_8d3e8a68ae,software_engineering,OUTCOME,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",How did you measure the performance improvements after implementing the event pipelines?,performance improvements after implementing,improvements,invented_outcome,1,,,accept,
P3,s_801d8a609d,software_engineering,INCIDENT,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,Describe a specific incident when the deploy tooling failed.,specific incident when the,incident,invented_event,0,,,accept,
P3,s_801d8a609d,software_engineering,OUTCOME,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,How did you measure the fourfold increase in throughput?,fourfold increase in throughput,increase,invented_outcome,1,,,accept,
P3,s_137f1fc585,software_engineering,OUTCOME,Wrote the reconciliation service in Java against a Postgres database.,How did you measure the success of the reconciliation service after deployment?,success of the reconciliation,success,invented_outcome,1,,,accept,
P3,s_137f1fc585,software_engineering,INCIDENT,Wrote the reconciliation service in Java against a Postgres database.,Describe a specific incident when the reconciliation service failed.,specific incident when the,incident,invented_event,0,,,reject,multiple_fact_targets
P3,s_58a1b83d17,software_engineering,OUTCOME,Frontend developer building React interfaces against internal APIs.,How did you measure the improvement in user experience after launching a React interface?,improvement in user experience,improvement,invented_outcome,1,,,accept,
P3,s_96d5c9d85a,data_analytics,OUTCOME,Built dashboards in Tableau and Power BI on top of a Snowflake warehouse.,How did you measure the success of the dashboards you built?,success of the dashboards,success,invented_outcome,1,,,accept,
P3,s_3abd40422f,data_analytics,OPERATIONAL,Trained a demand forecast model and took it to production.,What steps did you take each day in the system to monitor the model?,system to monitor the,system,invented_tool,1,generally_entailed,,accept,
P3,s_9601f8af21,data_analytics,OUTCOME,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",How did you measure the success of the data pipeline improvements?,success of the data,success,invented_outcome,1,,,accept,
P3,s_ae0f5140a9,hr_recruitment,OUTCOME,"Sourcing on Naukri and Shine, managed offer rollout and joinee follow-up.","What specific outcome did you achieve by managing offer rollouts and follow-ups, and how did you measure its success?",success,success,invented_outcome,1,,,reject,duplicate_content
P3,s_007bf6b39c,hr_recruitment,OPERATIONAL,"Owned attrition, engagement surveys and the onboarding programme.",What specific actions did you take in the system to manage attrition?,system to manage attrition,system,invented_tool,1,generally_entailed,,accept,
P3,s_70bd955e23,hr_recruitment,OPERATIONAL,Ran interview panels and reduced time to offer from 40 days to 22.,What specific actions did you take in the interview system to streamline the process?,interview system to streamline,system,invented_tool,1,generally_entailed,,accept,
P3,s_70bd955e23,hr_recruitment,OUTCOME,Ran interview panels and reduced time to offer from 40 days to 22.,How did you measure the reduction from 40 to 22 days in your hiring process?,reduction from,reduction,invented_outcome,1,,22 40,reject,answer_leakage
P3,s_70bd955e23,hr_recruitment,OUTCOME,Ran interview panels and reduced time to offer from 40 days to 22.,How did you measure the reduction in time to offer from 40 days to 22?,reduction in time to,reduction,invented_outcome,1,,22 40,reject,answer_leakage
P3,s_b1f0bf5ff3,hr_recruitment,OPERATIONAL,"HR generalist handling payroll, onboarding and exit formalities for two business units.",What steps did you take in the payroll system each month?,payroll system each month,system,invented_tool,1,generally_entailed,,accept,
P3,s_b1f0bf5ff3,hr_recruitment,OUTCOME,"HR generalist handling payroll, onboarding and exit formalities for two business units.",How did you measure the success of your onboarding process?,success of your onboarding,success,invented_outcome,1,,,accept,
P3,s_538b1d05f5,hr_recruitment,OPERATIONAL,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",What specific tasks did you perform in the recruitment software daily?,recruitment software daily,software,invented_tool,1,generally_entailed,,accept,
P3,s_c7c47cf1fd,hr_recruitment,INCIDENT,Built a sourcing team of six and cut attrition in the first 90 days by half.,Describe a specific incident when attrition spiked unexpectedly after forming the team.,specific incident when attrition,incident,invented_event,0,,,accept,
P3,s_c7c47cf1fd,hr_recruitment,OPERATIONAL,Built a sourcing team of six and cut attrition in the first 90 days by half.,What specific tasks did you perform daily in the sourcing system to reduce attrition?,sourcing system to reduce,system,invented_tool,1,generally_entailed,,accept,
P3,s_c7c47cf1fd,hr_recruitment,DECISION,Built a sourcing team of six and cut attrition in the first 90 days by half.,"What specific retention strategies did you implement after the layoff, and why did you choose them?",retention,retention,invented_metric,0,,,accept,
P3,s_c7c47cf1fd,hr_recruitment,OUTCOME,Built a sourcing team of six and cut attrition in the first 90 days by half.,How did you measure the reduction in attrition after implementing your strategies?,reduction in attrition after,reduction,invented_outcome,1,,,accept,
P3,s_355024110f,general,DECISION,Managed a team of 20 and improved process efficiency across the department over two years.,What criteria did you use to decide which tasks to prioritize during the high-pressure week?,high-pressure week,high-pressure week,invented_event,1,,,accept,
P3,s_355024110f,general,OUTCOME,Managed a team of 20 and improved process efficiency across the department over two years.,How did you measure the improvement in process efficiency?,improvement in process efficiency,improvement,invented_outcome,1,,,accept,
P3,s_05280c12d0,general,DECISION,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,What criteria did you use to decide which ideas to combine in your marketing plan?,marketing plan,marketing plan,invented_artefact,1,,,accept,
P3,s_05280c12d0,general,OUTCOME,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,How did you measure the success of your team's marketing plan?,success of your team,success,invented_outcome,1,,,accept,
P3,s_9deb237f34,general,OPERATIONAL,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",What specific tasks did you perform in the system to track deliverables?,system to track deliverables,system,invented_tool,1,generally_entailed,,accept,
P3,s_9deb237f34,general,DECISION,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",What factors did you consider when deciding how to address the technical delays with stakeholders?,technical delays with stakeholders,delays,invented_event,1,,,accept,
P3,s_9deb237f34,general,OUTCOME,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",How did you measure the success of your weekly presentations to stakeholders?,success of your weekly,success,invented_outcome,1,,,accept,
P3,s_36d24fd8c1,general,OUTCOME,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",How did you measure the success of your vendor coordination efforts?,success of your vendor,success,invented_outcome,1,,,accept,
P3,s_2d0d59e5c6,general,OPERATIONAL,Drove client engagement through structured quarterly reviews with each account owner.,What specific steps did you take in the system to prepare for each quarterly review?,system to prepare for,system,invented_tool,1,generally_entailed,,accept,
P3,s_2d0d59e5c6,general,OUTCOME,Drove client engagement through structured quarterly reviews with each account owner.,How did you measure the success of these quarterly reviews?,success of these quarterly,success,invented_outcome,1,,,reject,duplicate_content
P3,s_2d0d59e5c6,general,OUTCOME,Drove client engagement through structured quarterly reviews with each account owner.,How did you measure the success of these quarterly reviews?,success of these quarterly,success,invented_outcome,1,,,reject,duplicate_content
P3,s_bac5527e96,general,OUTCOME,Arranged vendor contracts and dealt with escalations through the regional office.,How did you measure the success of the new delivery schedule with the vendor?,success of the new,success,invented_outcome,1,,,accept,
P3,s_5dc4163968,general,OPERATIONAL,Rapid capital deployment was reviewed by the risk committee at the end of each quarter.,What specific tasks did you perform in the system when preparing for the risk committee meetings?,system when preparing for,system,invented_tool,1,generally_entailed,,accept,
P3,s_5dc4163968,general,OUTCOME,Rapid capital deployment was reviewed by the risk committee at the end of each quarter.,How did you measure the success of the capital deployment after committee reviews?,success of the capital,success,invented_outcome,1,,,accept,
P3,s_d794e6ecd7,general,OPERATIONAL,Re-engineered the intake process and delivered rapid improvements in turnaround time.,What specific tasks did you perform daily in the system during the re-engineering?,system during the re-engineering,system,invented_tool,1,generally_entailed,,accept,
P3,s_8f35d89aef,general,OPERATIONAL,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,What specific actions did you take in the project management tools during the transition?,project management tools during,project management tools,invented_tool,1,generally_entailed,,accept,
P3,s_8f35d89aef,general,OUTCOME,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,How did you measure the success of the updated project management tools?,success of the updated,success,invented_outcome,1,,,accept,
P3,s_4177e0aa29,bpo_operations,INCIDENT,"Owned shrinkage and occupancy for a 150-seat process, reporting the numbers through the daily huddle.",Describe a specific incident when shrinkage or occupancy numbers were unexpectedly high or low.,specific incident when shrinkage,incident,invented_event,0,,,reject,multiple_fact_targets
P3,s_902db4caee,hr_recruitment,OUTCOME,Owned the recruiting funnel from sourcing through offer rollout.,How did you measure the success of your recruiting process for those roles?,success of your recruiting,success,invented_outcome,1,,,accept,
P3,s_c8a7c7f421,product,INCIDENT,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,Describe a specific time during the rebuild when you faced a major setback.,major setback,setback,invented_event,0,,,accept,
P3,s_c8a7c7f421,product,OPERATIONAL,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,What specific actions did you take in the analytics tool each morning?,analytics tool each morning,analytics tool,invented_tool,1,generally_entailed,,reject,no_claim_anchor
P3,s_c8a7c7f421,product,OPERATIONAL,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,What specific actions did you take in the analytics tool during the onboarding rebuild?,analytics tool during the,analytics tool,invented_tool,1,generally_entailed,,accept,
P3,s_c8a7c7f421,product,OUTCOME,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,How did you measure the increase in activation from 34% to 46%?,increase in activation from,increase,invented_outcome,1,,34% 46%,reject,answer_leakage
P3,s_c8a7c7f421,product,OUTCOME,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,How did you measure the increase in activation after the onboarding changes?,increase in activation after,increase,invented_outcome,1,,,accept,
P3,s_bfb3c99965,product,OPERATIONAL,Ran a/b tests on the cart flow and lifted adoption of saved cards by 18%.,What specific actions did you take in the analytics tool during the A/B tests?,analytics tool during the,analytics tool,invented_tool,1,generally_entailed,,accept,
P3,s_1f47c5557c,product,OPERATIONAL,Deprioritised two epics to ship the MVP a quarter early.,What specific actions did you take in the project management tool to deprioritize the epics?,project management tool to,project management tool,invented_tool,1,generally_entailed,,accept,
