example_id,sub_type,tool_level,provenance,human_verdict,human_note,contested,claim,question,rationale
p5_12d3fd,invented_tool,generally_entailed,observed,reject,Hands back the exact $1.2M ARR figure.,0,Carrying a quota of $1.2M ARR.,How did you use your CRM system daily to manage your $1.2M ARR quota?,instrument: crm
p5_d16c6e,invented_tool,generally_entailed,mined,,,0,Built pipeline through outbound prospecting and closed 34 deals last year.,How did you use the CRM system to track interactions daily?,instrument: crm
p5_2e6807,invented_tool,generally_entailed,mined,,,0,Built pipeline through outbound prospecting and closed 34 deals last year.,How did you use the CRM to track interactions and schedule follow-ups for closing deals?,instrument: crm
p5_d0b2ba,invented_tool,generally_entailed,mined,,,0,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,What specific tasks did you perform daily in the CRM to manage your leads?,instrument: crm
p5_617f8d,invented_tool,generally_entailed,mined,,,0,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",What specific actions did you take daily in the CRM to manage the sales funnel?,instrument: crm
p5_2e1c1b,invented_tool,generally_entailed,mined,,,0,Owned a pipeline of 80 prospects and hit quota six quarters running.,What specific actions did you take in the CRM each day to manage your pipeline?,instrument: crm
p5_51bdbe,invented_tool,generally_entailed,mined,,,0,"Pricing approvals, quota planning and revenue forecast reviews for the field sales org.",What specific actions did you perform in the system for revenue forecast reviews?,instrument: system
p5_b7005e,invented_tool,generally_entailed,mined,,,0,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What specific tasks did you perform in the systems for processing claims?,instrument: systems
p5_6951d7,invented_tool,generally_entailed,mined,,,0,Ran KYC audits and reported exceptions to the risk committee.,What specific tasks did you perform in the system during a KYC audit?,instrument: system
p5_871211,invented_tool,generally_entailed,mined,,,0,Trained a demand forecast model and took it to production.,What steps did you take each day in the system to monitor the model?,instrument: system
p5_c2c07e,invented_tool,specifically_unentailed,observed,reject,Assumes a system for attrition management that the claim never names.,0,"Owned attrition, engagement surveys and the onboarding programme.",What specific actions did you take in the system to manage attrition?,instrument: system
p5_b26fd3,invented_tool,generally_entailed,mined,,,0,Ran interview panels and reduced time to offer from 40 days to 22.,What specific actions did you take in the interview system to streamline the process?,instrument: system
p5_952a1c,invented_tool,generally_entailed,mined,,,0,"HR generalist handling payroll, onboarding and exit formalities for two business units.",What steps did you take in the payroll system each month?,instrument: system
p5_54e555,invented_tool,generally_entailed,mined,,,0,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",What specific tasks did you perform in the recruitment software daily?,instrument: software
p5_c33410,invented_tool,contested,mined,,,1,Built a sourcing team of six and cut attrition in the first 90 days by half.,What specific tasks did you perform daily in the sourcing system to reduce attrition?,instrument: system
p5_43f137,invented_tool,generally_entailed,mined,,,0,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",What specific tasks did you perform in the system to track deliverables?,instrument: system
p5_4ee29f,invented_tool,generally_entailed,mined,,,0,Drove client engagement through structured quarterly reviews with each account owner.,What specific steps did you take in the system to prepare for each quarterly review?,instrument: system
p5_560c7f,invented_tool,generally_entailed,mined,,,0,Rapid capital deployment was reviewed by the risk committee at the end of each quarter.,What specific tasks did you perform in the system when preparing for the risk committee meetings?,instrument: system
p5_114bd6,invented_tool,contested,mined,,,1,Re-engineered the intake process and delivered rapid improvements in turnaround time.,What specific tasks did you perform daily in the system during the re-engineering?,instrument: system
p5_54f9b7,invented_tool,generally_entailed,observed,accept,Relevant operational probe for the transition work.,0,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,What specific actions did you take in the project management tools during the transition?,instrument: project management tools
p5_5468c2,invented_tool,contested,mined,,,1,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,What specific actions did you take in the analytics tool each morning?,instrument: analytics tool
p5_ccb4db,invented_tool,contested,mined,,,1,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,What specific actions did you take in the analytics tool during the onboarding rebuild?,instrument: analytics tool
p5_740ffa,invented_tool,generally_entailed,mined,,,0,Ran a/b tests on the cart flow and lifted adoption of saved cards by 18%.,What specific actions did you take in the analytics tool during the A/B tests?,instrument: analytics tool
p5_62d148,invented_tool,generally_entailed,mined,,,0,Deprioritised two epics to ship the MVP a quarter early.,What specific actions did you take in the project management tool to deprioritize the epics?,instrument: project management tool
p5_9b2970,invented_tool,generally_entailed,mined,,,0,Cut churn by reworking the trial experience and tracked user retention against a north star metric.,What specific actions did you take daily in the data analytics tool?,instrument: analytics tool
p5_aa1bcb,invented_artefact,,mined,,,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,How did you use the queue report to identify performance issues?,re-typed from invented_tool by hand
p5_a0fed0,invented_tool,contested,mined,,,1,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the product analytics dashboard each Monday?,instrument: dashboard
p5_66704f,invented_tool,specifically_unentailed,mined,,,0,Managed rosters for 42 agents across three shifts,What steps did you take in the performance tracking software daily?,instrument: software
p5_b29ced,invented_tool,specifically_unentailed,mined,,,0,Managed rosters for 42 agents across three shifts,How did you use the performance tracking software to adjust daily rosters?,instrument: software
p5_a71759,invented_tool,generally_entailed,mined,,,0,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,What specific actions did you take daily in the system to maintain occupancy above 85%?,instrument: system
p5_852aa1,invented_tool,generally_entailed,mined,,,0,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,How did you use the call handling system daily to maintain occupancy above 85%?,instrument: system
p5_0e17e5,invented_tool,generally_entailed,mined,,,0,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,What specific steps did you take in your system each morning to monitor shrinkage?,instrument: system
p5_55c235,invented_tool,generally_entailed,mined,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,What specific tasks did you perform daily in the system to manage the nesting batches?,instrument: system
p5_1b2818,invented_tool,generally_entailed,mined,,,0,Reported CX metrics to the client every Monday.,What specific actions did you take inside the reporting system to prepare the CX metrics?,instrument: system
p5_f70d33,invented_tool,generally_entailed,mined,,,0,Ran workforce planning for a 24x7 contact centre.,What specific actions did you take in the workforce planning system each morning?,instrument: system
p5_0ff7a7,invented_tool,generally_entailed,mined,,,0,Cut first response time from 9 hours to under 2.,What specific steps did you take each morning to manage ticket handling in your system?,instrument: system
p5_a56c79,invented_tool,generally_entailed,mined,,,0,Owned resolution time for P1 issues.,How did you use the support dashboard to track resolution times?,instrument: dashboard
p5_6a300c,invented_tool,generally_entailed,mined,,,0,Ran the chat support queue.,How did you manage daily tasks in the chat support system?,instrument: system
p5_2e33e8,invented_tool,specifically_unentailed,mined,,,0,Reduced reopen rate by a third.,What specific actions did you take in the system to analyze the top ten issues?,instrument: system
p5_3ab1f7,invented_tool,specifically_unentailed,mined,,,0,Reduced reopen rate by a third.,What steps did you take each morning to review and adjust the macros?,instrument: macros
p5_255ff9,invented_tool,specifically_unentailed,mined,,,0,Reduced reopen rate by a third.,How did you measure the reduction in reopen rate after implementing the macros?,instrument: macros
p5_8b87da,invented_tool,generally_entailed,mined,,,0,Wrote macros for the top ten issue types.,What actions did you perform in the ticketing system to test and tweak macros?,instrument: ticketing system
p5_ae3248,invented_tool,generally_entailed,mined,,,0,Took escalation from tier 1 and tracked resolution time week over week.,What specific steps did you take in the system to track resolution times?,instrument: system
p5_10e2f2,invented_tool,generally_entailed,mined,,,0,Took escalation from tier 1 and tracked resolution time week over week.,What changes did you see in resolution times after implementing your tracking system?,instrument: system
p5_7fd271,invented_tool,generally_entailed,mined,,,0,Carrying a quota of $1.2M ARR.,What specific actions did you take in your CRM daily to manage your pipeline?,instrument: crm
p5_4c2672,invented_tool,generally_entailed,mined,,,0,Closed 34 deals last year.,How did you use the CRM system to track and manage your deals daily?,instrument: crm
p5_ba6fe7,invented_tool,generally_entailed,mined,,,0,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",How did you use the CRM system daily to track and convert leads?,instrument: crm
p5_83d3de,invented_tool,contested,mined,,,1,Owned a pipeline of 80 prospects and hit quota six quarters running.,What specific actions did you take in the CRM to track engagement levels?,instrument: crm
p5_a92f5c,invented_tool,generally_entailed,mined,,,0,Grew ARR from $400K to $1.1M,What specific tasks did you perform daily in the CRM to track sales progress?,instrument: crm
p5_4b0b3d,invented_tool,specifically_unentailed,mined,,,0,Coached four inside sales reps on closing technique,How did you use the CRM to provide feedback on each rep's progress?,instrument: crm
p5_1d72f3,invented_tool,generally_entailed,mined,,,0,"Ran the deal desk. Pricing approvals, quota planning and revenue forecast reviews for the field sales org.",What specific actions did you perform in the pricing approval system daily?,instrument: system
p5_0f9d54,invented_tool,generally_entailed,mined,,,0,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What specific actions did you perform in the system when processing a mutual fund transaction?,instrument: system
p5_6930f6,invented_tool,generally_entailed,mined,,,0,Trained a demand forecast model and took it to production.,What specific tasks did you perform daily in the system to monitor the model's performance?,instrument: system
p5_9f3a42,invented_tool,generally_entailed,mined,,,0,"HR generalist handling payroll, onboarding and exit formalities for two business units.",What specific tasks did you perform in the payroll system each day?,instrument: system
p5_c3dca9,invented_metric,,mined,,,0,Ran 40 user interviews to find the top three pain points before writing the PRD,How did you measure the impact of addressing the top pain points on user retention?,premise object: retention
p5_225ad1,invented_artefact,,mined,,,0,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,What steps did you take in Zendesk to review the reopen report?,premise object: report
p5_8ea7b2,invented_metric,,mined,,,0,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What was the impact on user retention after improving the first-run flow?,premise object: retention
p5_080a5e,invented_outcome,,mined,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you measure the improvement in confidence and performance of new hires by the end of nesting?,premise object: improvement
p5_717466,invented_outcome,,mined,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you measure the improvement in new hires' confidence before moving to the production floor?,premise object: improvement
p5_5931f2,invented_condition,,observed,reject,Introduces a two-hour resolution threshold absent from the claim.,0,Led the escalation desk for a SaaS product.,Describe a specific incident where a P1 issue wasn't resolved in 2 hours.,premise object: 2 hours
p5_ed9080,invented_condition,,observed,accept,Specific incident probe for a claimed escalation-desk responsibility.,0,Led the escalation desk for a SaaS product.,Describe a specific P1 issue that took longer than 2 hours to resolve.,premise object: longer than 2 hours
p5_68ac5f,invented_metric,,mined,,,0,Wrote macros for the top ten issue types.,How did you calculate the 30% reopen rate before implementing macros?,premise object: reopen rate
p5_c18508,invented_metric,,mined,,,0,Grew ARR from $400K to $1.1M,How did you measure the improvement in conversion rates?,premise object: conversion rates
p5_fe6b03,invented_outcome,,mined,,,0,Grew ARR from $400K to $1.1M,How did you measure the improvement in conversion rates?,premise object: improvement
p5_c61f9b,invented_metric,,observed,reject,Invents a 15% to 25% conversion-rate outcome not in the claim.,0,Coached four inside sales reps on closing technique,How did you capture the jump in conversion rates from 15% to 25%?,premise object: conversion rates
p5_3f222c,invented_outcome,,observed,reject,Invents a 15% to 25% conversion-rate outcome not in the claim.,0,Coached four inside sales reps on closing technique,How did you capture the jump in conversion rates from 15% to 25%?,premise object: jump
p5_9cb772,invented_metric,,observed,reject,Assumes a conversion-rate increase that the claim never states.,0,Coached four inside sales reps on closing technique,How did you ensure the increase in conversion rate was due to your coaching?,premise object: conversion rate
p5_bb649d,invented_metric,,mined,,,0,Ran KYC audits and reported exceptions to the risk committee.,What impact did freezing the client's account have on your compliance metrics?,premise object: metrics
p5_47939e,invented_outcome,,mined,,,0,Built REST APIs on Postgres and deployed to Kubernetes on AWS.,How did you measure the performance improvement after deploying the APIs on AWS?,premise object: improvement
p5_5cd05d,invented_outcome,,mined,,,0,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",How did you measure the performance improvements after implementing the event pipelines?,premise object: improvements
p5_17401b,invented_outcome,,mined,,,0,Frontend developer building React interfaces against internal APIs.,How did you measure the improvement in user experience after launching a React interface?,premise object: improvement
p5_31ec38,invented_event,,observed,accept,Relevant decision probe for prioritization under pressure.,0,Managed a team of 20 and improved process efficiency across the department over two years.,What criteria did you use to decide which tasks to prioritize during the high-pressure week?,premise object: high-pressure week
p5_252939,invented_artefact,,observed,reject,Assumes a marketing plan absent from the claim.,0,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,What criteria did you use to decide which ideas to combine in your marketing plan?,premise object: marketing plan
p5_f8437f,invented_event,,observed,reject,Introduces technical delays that are not in the claim.,0,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",What factors did you consider when deciding how to address the technical delays with stakeholders?,premise object: delays
p5_a75bf1,invented_metric,,mined,,,0,Ran discovery interviews with branch staff.,How did you measure the 70% adoption rate among branch staff?,premise object: adoption rate
p5_399246,invented_artefact,,mined,,,0,Ran discovery interviews with branch staff.,What criteria did you use to prioritize feedback from the interviews for the PRD?,premise object: prd
p5_643514,invented_metric,,mined,,,0,Built the experiment backlog and instrumented activation events across the funnel.,What impact did instrumenting activation events have on conversion rates?,premise object: conversion rates
p5_d894bd,invented_event,,mined,,,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What factors did you consider when deciding to redesign the escalation workflow?,premise object: escalation
p5_62c4e9,invented_metric,,mined,,,0,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,Can you describe a specific incident where the callback SLA failed and how you addressed it?,premise object: sla
p5_072142,invented_artefact,,mined,,,0,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,What specific actions did you take in Zendesk to review the reopen report?,premise object: report
p5_e6be5e,invented_metric,,mined,,,0,Ran 40 user interviews to find the top three pain points before writing the PRD,What was the impact on user retention after addressing the top three pain points?,premise object: retention
p5_90b2f9,invented_outcome,,mined,,,0,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,How did you verify the reduction in abandon rate from 12% to 5% was effective?,premise object: reduction
p5_5b1e9b,invented_metric,,mined,,,0,Wrote macros for the top ten issue types.,How did you track and document the 10% drop in reopen rate?,premise object: reopen rate
p5_143340,invented_event,,mined,,,0,Owned a pipeline of 80 prospects and hit quota six quarters running.,"What criteria did you use to decide which high-value leads to focus on after the delay, and why?",premise object: delay
p5_25892e,invented_metric,,mined,,,0,Grew ARR from $400K to $1.1M,What was the most significant change you saw in conversion rates after implementing the targeted outreach campaign?,premise object: conversion rates
p5_080d48,invented_outcome,,mined,,,0,Coached four inside sales reps on closing technique,How did you measure the improvement in closing rates after coaching the reps?,premise object: improvement
p5_cd1689,invented_metric,,mined,,,0,HRBP for a 400-person org.,"What specific decision did you make to reduce attrition by 15%, and what options did you reject?",premise object: attrition
p5_ff548a,invented_tool,specifically_unentailed,constructed,,,0,Cut p95 latency from 900ms to 180ms.,What specific actions did you take in New Relic to bring p95 down?,named vendor; latency work implies no particular APM
p5_ec1810,invented_tool,specifically_unentailed,constructed,,,0,Built REST APIs on Postgres and deployed to Kubernetes on AWS.,How did you use the service mesh to route traffic during deploys?,a service mesh is one deployment choice among several
p5_e4b074,invented_tool,specifically_unentailed,constructed,,,0,Wrote the reconciliation service in Java against a Postgres database.,What steps did you take in the feature-flag system before each release?,feature flags are optional for a batch reconciliation service
p5_a106c1,invented_tool,specifically_unentailed,constructed,,,0,Frontend developer building React interfaces against internal APIs.,What specific actions did you take in Storybook each day?,named vendor; React work implies no component workshop
p5_ec6c8c,invented_tool,specifically_unentailed,constructed,,,0,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,How did you use the canary dashboard to decide when to roll back?,a canary dashboard is a mechanism inside a deploy strategy
p5_c92568,invented_tool,specifically_unentailed,constructed,,,0,Reduced reopen rate by a third.,What steps did you take in the auto-triage rules each week?,auto-triage is one mechanism; reopen rate implies none
p5_37c7a8,invented_tool,specifically_unentailed,constructed,,,0,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,What actions did you take in the chatbot builder to deflect tickets?,deflection is not claimed and a bot is optional
p5_01878b,invented_tool,specifically_unentailed,constructed,,,0,Led the escalation desk for a SaaS product.,How did you use the war-room bridge to coordinate P1s?,one coordination mechanism among many
p5_908fdc,invented_tool,specifically_unentailed,constructed,,,0,Cut first response time from 9 hours to under 2.,What specific steps did you take in the SLA timer configuration each morning?,"a configuration screen inside a category, not the category"
p5_8b2c41,invented_tool,specifically_unentailed,constructed,,,0,Took escalation from tier 1 and tracked resolution time week over week.,What actions did you perform in the knowledge base editor?,a knowledge base is not entailed by taking escalations
p5_9bbfa3,invented_tool,specifically_unentailed,constructed,,,0,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",How did you use Gainsight to score account health?,"named vendor, and the claim names a DIFFERENT tool"
p5_821c65,invented_tool,specifically_unentailed,constructed,,,0,Ran the chat support queue.,What steps did you take in the sentiment analysis tool during peak hours?,sentiment analysis is optional for running a queue
p5_baa32a,invented_tool,specifically_unentailed,constructed,,,0,Wrote macros for the top ten issue types.,How did you use the A/B testing tool to compare macro versions?,A/B testing macros is one practice of many
p5_f348a9,invented_tool,specifically_unentailed,constructed,,,0,Owned resolution time for P1 issues.,How did you use the customer-facing status page to manage P1s?,"a public status page is a choice, not a requirement"
p5_22062e,invented_tool,specifically_unentailed,constructed,,,0,Managed a team of 22 agents and ran the daily huddle,What specific actions did you take in the gamification platform each week?,gamification is not entailed by running a huddle
p5_aff668,invented_tool,specifically_unentailed,constructed,,,0,Ran weekly calibration with the quality team,How did you use the speech analytics engine during calibration?,calibration is commonly manual
p5_1ad6c5,invented_tool,specifically_unentailed,constructed,,,0,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,What steps did you take in the biometric attendance terminal each shift?,one specific attendance mechanism
p5_e3b4bd,invented_tool,specifically_unentailed,constructed,,,0,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,What actions did you take in the LMS quiz builder during nesting?,"a quiz builder is a mechanism inside an LMS, itself optional"
p5_d100df,invented_tool,specifically_unentailed,constructed,,,0,Held SLA attainment at 97% across four queues by rebuilding the roster model,How did you use the Erlang calculator each morning?,one specific staffing method
p5_1e0836,invented_tool,specifically_unentailed,constructed,,,0,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,What did you do in the survey tool's branching logic?,branching logic is a mechanism two levels inside the category
p5_7a1535,invented_tool,specifically_unentailed,constructed,,,0,Drove a 30% improvement in CSAT scores across the entire process,What actions did you take in the coaching tracker to lift CSAT?,"an instrument bolted to an OUTCOME, not to a performed activity"
p5_cdfd03,invented_tool,specifically_unentailed,constructed,,,0,Delivered a 30% improvement in AHT through advanced process optimisation,How did you use the process mining tool to find the AHT savings?,process mining is one method; the claim implies none
p5_fdd99f,invented_tool,specifically_unentailed,constructed,,,0,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,What steps did you take in the screen-recording tool to cut AHT?,screen recording is optional
p5_2497c8,invented_tool,specifically_unentailed,constructed,,,0,Ran workforce planning for a 24x7 contact centre.,How did you use the shift-swap mobile app each week?,a mechanism inside a WFM category that IS entailed
p5_71a109,invented_tool,specifically_unentailed,constructed,,,0,Built a sourcing team of six and cut attrition in the first 90 days by half.,What actions did you take in the exit-interview analytics module to cut attrition?,"instrument bolted to an outcome, and a module inside a category"
p5_533a27,invented_tool,specifically_unentailed,constructed,,,0,HRBP for a 400-person org.,What steps did you take in the engagement pulse tool each month?,an HRBP need not run pulse surveys
p5_5c605f,invented_tool,specifically_unentailed,constructed,,,0,"Recruiter hiring for engineering roles. Sourcing on Naukri and Shine, managed offer rollout and joinee follow-up.",How did you use LinkedIn Recruiter to build pipelines?,"named vendor, and the claim names two DIFFERENT sourcing channels"
p5_c2fc26,invented_tool,specifically_unentailed,constructed,,,0,Ran interview panels and reduced time to offer from 40 days to 22.,What did you do in the interview scorecard calibration screen?,a specific screen inside an ATS
p5_38b19c,invented_tool,specifically_unentailed,constructed,,,0,"HR generalist handling payroll, onboarding and exit formalities for two business units.",How did you use the org-chart visualisation tool during onboarding?,optional category
p5_c077e0,invented_tool,specifically_unentailed,constructed,,,0,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",What actions did you take in the video interview platform for campus rounds?,campus rounds are frequently in person
p5_5eca44,invented_tool,specifically_unentailed,constructed,,,0,Coached four inside sales reps on closing technique,How did you use the call recording software to coach?,coaching is commonly live; recording is one method
p5_9d48dd,invented_tool,specifically_unentailed,constructed,,,0,Closed 34 deals last year.,What steps did you take in the e-signature tool for each close?,"a mechanism at the end of a close, not the close"
p5_c58998,invented_tool,specifically_unentailed,constructed,,,0,Grew ARR from $400K to $1.1M,How did you use the revenue intelligence platform to grow ARR?,instrument bolted to an outcome
p5_1dc540,invented_tool,specifically_unentailed,constructed,,,0,Ran the deal desk.,What did you do in the discount heat-map dashboard each day?,a specific view inside a CPQ/CRM category
p5_d039af,invented_tool,specifically_unentailed,constructed,,,0,Built pipeline through outbound prospecting and closed 34 deals last year.,How did you use the sales engagement sequencer daily?,sequencing software is one prospecting method
p5_edd3ff,invented_tool,specifically_unentailed,constructed,,,0,Ran 40 user interviews to find the top three pain points before writing the PRD,What did you do in the research repository's tagging view?,"a view inside a repository, itself optional"
p5_02a3fc,invented_tool,specifically_unentailed,constructed,,,0,Ran a/b tests on the cart flow and lifted adoption of saved cards by 18%.,How did you use the session replay tool during the test?,session replay is optional for an A/B test
p5_7c8be1,invented_tool,specifically_unentailed,constructed,,,0,Tracked adoption after launch.,What actions did you take in the in-app messaging tool to drive adoption?,instrument bolted to an outcome the claim only observes
p5_4b44d9,invented_tool,specifically_unentailed,constructed,,,0,Built dashboards in Tableau and Power BI on top of a Snowflake warehouse.,How did you use dbt tests to validate the dashboards?,named tool absent from a claim that names three others
p5_6bdaf5,invented_tool,specifically_unentailed,constructed,,,0,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,What steps did you take in the query scheduler's alerting rules?,alerting rules are a mechanism inside a scheduler
p5_296fde,invented_tool,specifically_unentailed,constructed,,,0,Re-engineered the intake process and delivered rapid improvements in turnaround time.,How did you use the BPMN modelling tool during the re-engineering?,process redesign rarely requires formal BPMN tooling
p5_9acf06,invented_event,,constructed,,,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,How did you handle the walkout in the second pod?,"definite episode, never claimed"
p5_62c622,invented_event,,constructed,,,0,Ran the chat support queue.,What did you do during the outage that took chat down?,definite outage
p5_7ac203,invented_event,,constructed,,,0,Cut first response time from 9 hours to under 2.,How did you recover after the backlog spike in December?,definite month and spike
p5_38a22d,invented_event,,constructed,,,0,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",What did you decide during the audit finding on reconciliation?,an audit FINDING is asserted
p5_36f725,invented_event,,constructed,,,0,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,How did you handle the settlement failure that quarter?,definite failure
p5_727c64,invented_event,,constructed,,,0,Ran KYC audits and reported exceptions to the risk committee.,What did you do about the regulator's adverse observation?,definite regulatory action
p5_e9ff00,invented_event,,constructed,,,0,Built REST APIs on Postgres and deployed to Kubernetes on AWS.,How did you respond to the production incident after the schema migration?,"two invented events, an incident and a migration"
p5_ec1f33,invented_event,,constructed,,,0,Cut p95 latency from 900ms to 180ms.,What did you change after the latency regression shipped?,a regression is asserted
p5_237e52,invented_event,,constructed,,,0,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,How did you handle the failed rollout that blocked the release train?,definite failure
p5_05afb8,invented_event,,constructed,,,0,Ran interview panels and reduced time to offer from 40 days to 22.,What did you do when the offer freeze hit mid-quarter?,definite freeze
p5_c9fa48,invented_event,,constructed,,,0,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",How did you manage the campus that cancelled its slot?,definite cancellation
p5_3e1051,invented_event,,constructed,,,0,Grew ARR from $400K to $1.1M,What did you do after losing the anchor account?,a loss asserted against a growth claim
p5_012df4,invented_event,,constructed,,,0,Ran the deal desk.,How did you handle the pricing escalation from the regional VP?,definite escalation and person
p5_0b3cc5,invented_event,,constructed,,,0,Deprioritised two epics to ship the MVP a quarter early.,What did you decide during the scope fight with engineering?,definite conflict
p5_6e6241,invented_event,,constructed,,,0,Ran discovery interviews with branch staff.,How did you respond when the branch manager blocked access?,definite obstruction
p5_c7b2c6,invented_event,,constructed,,,0,Managed rosters for 42 agents across three shifts,What did you do about the shift clash over the festival week?,definite week and clash
p5_cedb14,invented_event,,constructed,,,0,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",How did you resolve the payment dispute with the vendor?,definite dispute
p5_3820b4,invented_event,,constructed,,,0,Managed a team of 22 agents and ran the daily huddle,How did you handle the huddle that turned into a grievance session?,definite episode
p5_ddf17d,invented_event,,constructed,,,0,Ran weekly calibration with the quality team,What did you do about the calibration dispute with the client auditor?,definite dispute
p5_c67ceb,invented_event,,constructed,,,0,Ran workforce planning for a 24x7 contact centre.,How did you cover the night shift after the mass sick-out?,definite sick-out
p5_81c31d,invented_event,,constructed,,,0,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,What did you do during the power failure that emptied the floor?,definite failure
p5_296727,invented_event,,constructed,,,0,"Owned shrinkage and occupancy for a 150-seat process, reporting the numbers through the daily huddle.",How did you respond to the client's escalation about occupancy?,definite escalation
