item_id,claim,question,sub_type,tool_level,note
i068,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",How did you resolve the payment dispute with the vendor?,,,
i069,Reduced reopen rate by a third.,What specific steps did you take each day to monitor and adjust the macros?,,,
i070,Frontend developer building React interfaces against internal APIs.,What specific actions did you take in Storybook each day?,,,
i071,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What steps did you take in the system for daily attendance tracking?,,,
i072,Grew ARR from $400K to $1.1M,How did you measure the improvement in conversion rates?,,,
i073,Held SLA attainment at 97% across four queues by rebuilding the roster model,What did you do when a queue slipped under the 95% penalty threshold?,,,
i074,Wrote macros for the top ten issue types.,How did you calculate the 30% reopen rate before implementing macros?,,,
i075,Owned the SQL reporting stack and a Looker dashboard suite for the commercial team.,How did you respond to the reporting error the CFO found?,,,
i076,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",Describe a specific incident when a microservice failed in your pipeline. What happened?,,,
i077,Deprioritised two epics to ship the MVP a quarter early.,What did you decide during the scope fight with engineering?,,,
i078,Owned the recruiting funnel from sourcing through offer rollout.,How did you treat requisitions open beyond 45 days?,,,
i079,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the product analytics dashboard each week?,,,
i080,Managed a team of 20 and improved process efficiency across the department over two years.,What criteria did you use to decide which tasks to prioritize during the high-pressure week?,,,
i081,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",How did you measure the success of your ETL pipelines?,,,
i082,Arranged vendor contracts and dealt with escalations through the regional office.,How did you measure the success of the new delivery schedule with the vendor?,,,
i083,Ran a/b tests on the cart flow and lifted adoption of saved cards by 18%.,What specific actions did you take in the analytics tool during the A/B tests?,,,
i084,"Ran 18 experiments against a single north star metric, 5 of which shipped",How did you measure time-to-decision on each experiment?,,,
i085,Rapid capital deployment was reviewed by the risk committee at the end of each quarter.,What specific tasks did you perform in the system when preparing for the risk committee meetings?,,,
i086,Cut first response time from 9 hours to under 2.,Describe a specific incident where reducing response time was most challenging.,,,
i087,Built REST APIs on Postgres and deployed to Kubernetes on AWS.,How did you handle endpoints breaching the 200ms budget?,,,
i088,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you write the nesting exit criteria document?,,,
i089,Reviewed loan files for underwriting and cleared KYC exceptions before disbursement.,What did you do after the fraudulent file got through?,,,
i090,"Recruiter hiring for engineering roles. Sourcing on Naukri and Shine, managed offer rollout and joinee follow-up.",How did you measure the success of using Naukri and Shine for these hires?,,,
i091,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you measure speed to competency?,,,
i092,Cut p95 latency from 900ms to 180ms.,How did you measure and confirm the reduction in p95 latency?,,,
i093,Led the escalation desk for a SaaS product.,What specific actions did you take in the system to prioritize P1 issues?,,,
i094,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",What did you do about the backfill that corrupted the extracts?,,,
i095,Managed a team of 45 agents and consistently exceeded all CSAT targets,How did you handle the 95% CSAT floor for the account?,,,
i096,Ran 40 user interviews to find the top three pain points before writing the PRD,What was the impact on user retention after addressing the top three pain points?,,,
i097,Trained a demand forecast model and took it to production.,What did the model card record?,,,
i098,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",How did you measure pipeline freshness?,,,
i099,Delivered a 30% improvement in AHT through advanced process optimisation,How would you apply process optimisation to manage a team of 45 agents and exceed CSAT targets?,,,
i100,Ran discovery interviews with branch staff.,How did you measure the 70% adoption rate among branch staff?,,,
i101,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,What did the release checklist include?,,,
i102,Built pipeline through outbound prospecting and closed 34 deals last year.,How did you use the CRM to track interactions and schedule follow-ups for closing deals?,,,
i103,Managed a team of 20 and improved process efficiency across the department over two years.,How did you measure the improvement in process efficiency?,,,
i104,Delivered a 30% improvement in AHT through advanced process optimisation,How would you use process optimisation to improve a team's CSAT scores?,,,
i105,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,What specific decision did you make that led to the fourfold improvement in throughput?,,,
i106,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,How did you handle a pod dropping below 90% adherence?,,,
i107,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,How did you measure the increase in activation after the onboarding changes?,,,
i108,Grew ARR from $400K to $1.1M,How long did it take to achieve the growth in ARR?,,,
i109,Closed 34 deals last year.,How did you measure the success of the deals after closing them?,,,
i110,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,How did you handle the sale weekend that broke the queue?,,,
i111,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,Describe a specific time during the rebuild when you faced a major setback.,,,
i112,Built a sourcing team of six and cut attrition in the first 90 days by half.,How did you measure the reduction in attrition after implementing your strategies?,,,
i113,Ran 40 user interviews to find the top three pain points before writing the PRD,How did you measure the impact of addressing the top three pain points?,,,
i114,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,What actions did you take in the chatbot builder to deflect tickets?,,,
i115,Cut first response time from 9 hours to under 2.,What specific steps did you take in the SLA timer configuration each morning?,,,
i116,Reduced AHT from 520 seconds to 430 seconds through script standardisation and coaching,Describe a specific incident when script standardisation didn't work as planned.,,,
i117,Delivered a 30% improvement in AHT through advanced process optimisation,What did you do about processes still above the 7-minute limit?,,,
i118,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,How did you measure pod-level utilisation?,,,
i119,"HR generalist handling payroll, onboarding and exit formalities for two business units.",How did you use the org-chart visualisation tool during onboarding?,,,
i120,Delivered a 30% improvement in AHT through advanced process optimisation,"On ""Delivered a 30% improvement in AHT through advanced process optimisation"" — Suppose you had taken on a team of 45 agents and consistently exceeded all CSAT targets instead. Using the approach you described, where would you start?",,,
i121,Took escalation from tier 1 and tracked resolution time week over week.,What drove the week-on-week improvement?,,,
i122,Wrote macros for the top ten issue types.,What did the macro style guide specify?,,,
i123,Cut p95 latency from 900ms to 180ms.,Describe a specific incident where a caching change caused unexpected issues.,,,
i124,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,What steps did you take in the query scheduler's alerting rules?,,,
i125,Cut churn by reworking the trial experience and tracked user retention against a north star metric.,What specific actions did you take daily in the data analytics tool?,,,
i126,Cut first response time from 9 hours to under 2.,What was in the first-response runbook?,,,
i127,Took escalation from tier 1 and tracked resolution time week over week.,What changes did you see in resolution times after implementing your tracking system?,,,
i128,Ran interview panels and reduced time to offer from 40 days to 22.,How did you measure the reduction in time to offer from 40 days to 22?,,,
i129,Ran interview panels and reduced time to offer from 40 days to 22.,What did you do in the interview scorecard calibration screen?,,,
i130,Managed a team of 45 agents and consistently exceeded all CSAT targets,How did you sustain the year-on-year CSAT increase?,,,
i131,Cut p95 latency from 900ms to 180ms.,How long did it take to achieve the latency reduction?,,,
i132,Ran weekly calibration with the quality team,How did you measure the success of the calibration sessions?,,,
i133,Closed 34 deals last year.,How did you use the CRM system to track and manage your deals daily?,,,
i134,Ran the chat support queue.,"On ""Ran the chat support queue."" — How did this work day to day? Walk me through the steps and the systems you used.",,,
i135,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,What specific actions did you take in the analytics tool each morning?,,,
i136,"Ran the deal desk. Pricing approvals, quota planning and revenue forecast reviews for the field sales org.",What specific actions did you perform in the pricing approval system daily?,,,
i137,"Pricing approvals, quota planning and revenue forecast reviews for the field sales org.",What specific actions did you perform in the system for revenue forecast reviews?,,,
i138,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,Describe a specific incident where the new CI/CD pipeline failed.,,,
i139,Cut p95 latency from 900ms to 180ms.,How did you measure the latency improvement from 900ms to 180ms?,,,
i140,Coached four inside sales reps on closing technique,How did you use the CRM to provide feedback on each rep's progress?,,,
i141,Cut first response time from 9 hours to under 2.,How did you measure the reduction in response time from 9 hours to under 2?,,,
i142,Owned resolution time for P1 issues.,How did you verify the improvement in P1 resolution?,,,
i143,Cut p95 latency from 900ms to 180ms.,Describe a specific incident where a change you made caused unexpected latency issues.,,,
i144,Led the escalation desk for a SaaS product.,Describe an incident where a P1 breached the 30-minute response SLA.,,,
i145,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",How did you measure the success of the event pipelines after implementation?,,,
i146,Managed a team of 22 agents and ran the daily huddle,How would you manage reducing AHT using your team huddle approach?,,,
i147,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",How did you measure the success of your weekly presentations to stakeholders?,,,
i148,Ran interview panels and reduced time to offer from 40 days to 22.,How did you measure the reduction in time to offer?,,,
i149,Led the escalation desk for a SaaS product.,How did you measure the success of resolving P1 issues?,,,
i150,Trained a demand forecast model and took it to production.,What specific tasks did you perform daily in the system to monitor the model's performance?,,,
i151,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,What did the shrinkage RCA report cover?,,,
i152,Grew ARR from $400K to $1.1M,What did you do after losing the anchor account?,,,
i153,Wrote macros for the top ten issue types.,How did you track the impact of macros on customer satisfaction?,,,
i154,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,How did you use the canary dashboard to decide when to roll back?,,,
i155,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the product analytics dashboard each Monday?,,,
i156,Reported CX metrics to the client every Monday.,What specific actions did you take inside the reporting system to prepare the CX metrics?,,,
i157,Managed rosters for 42 agents across three shifts,What specific steps did you take in the system to adjust rosters during unexpected absences?,,,
i158,Wrote the reconciliation service in Java against a Postgres database.,What did the reconciliation SOP prescribe?,,,
i159,Managed a team of 45 agents and consistently exceeded all CSAT targets,How did you calculate your transfer rate?,,,
i160,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",What specific tasks did you perform in the system to track deliverables?,,,
i161,"Owned shrinkage and occupancy for a 150-seat process, reporting the numbers through the daily huddle.",What explains the occupancy gain over the year?,,,
i162,Reduced AHT from 520 seconds to 430 seconds through script standardisation and coaching,Describe a specific incident where script standardisation didn't reduce AHT as expected.,,,
i163,Ran the deal desk.,How did you measure the success of deals closed and what metrics showed improvement?,,,
i164,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,"On ""Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts"" — How did this work day to day? Walk me through the steps and the systems you used.",,,
i165,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,How did you measure your customer effort score?,,,
i166,Delivered a 30% improvement in AHT through advanced process optimisation,How did you use the process mining tool to find the AHT savings?,,,
i167,"HR generalist handling payroll, onboarding and exit formalities for two business units.",What did you do about the payroll run that missed a business unit?,,,
i168,Took escalation from tier 1 and tracked resolution time week over week.,How did you treat cases older than 7 days?,,,
i169,Ran interview panels and reduced time to offer from 40 days to 22.,How did you measure the reduction from 40 to 22 days in your hiring process?,,,
i170,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,Describe a specific incident when a senior associate failed to meet expectations. What actions did you take?,,,
i171,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,What specific actions did you take in Zendesk to review the reopen report?,,,
i172,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",How did you measure the renewal uplift across your book?,,,
i173,Reviewed loan files for underwriting and cleared KYC exceptions before disbursement.,What happened when a file exceeded the 3-exception limit?,,,
i174,Grew ARR from $400K to $1.1M,How did you measure the improvement in conversion rates?,,,
i175,Coached four inside sales reps on closing technique,How did you capture the jump in conversion rates from 15% to 25%?,,,
i176,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What was in the claims quality manual?,,,
i177,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What steps did you follow in the system to track daily attendance?,,,
i178,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,How did you measure the success of your team's marketing plan?,,,
i179,Built the experiment backlog and instrumented activation events across the funnel.,What impact did instrumenting activation events have on conversion rates?,,,
i180,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",How did you manage the campus that cancelled its slot?,,,
i181,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",How did you measure the performance improvements after implementing the event pipelines?,,,
i182,"Owned attrition, engagement surveys and the onboarding programme.",What specific actions did you take in the system to manage attrition?,,,
i183,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,What specific actions did you take in the analytics tool during the onboarding rebuild?,,,
i184,"HR generalist handling payroll, onboarding and exit formalities for two business units.",What specific tasks did you perform in the payroll system each day?,,,
i185,Delivered a 30% improvement in AHT through advanced process optimisation,How would you apply process optimization to manage a team of 45 agents to consistently exceed CSAT targets?,,,
i186,Managed a team of 22 agents and ran the daily huddle,How would you use your team management approach to reduce AHT?,,,
i187,HRBP for a 400-person org.,Describe a specific incident when engagement survey results were unexpectedly low. What did you do?,,,
i188,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,Can you describe a specific incident where the callback SLA failed and how you addressed it?,,,
i189,Carrying a quota of $1.2M ARR.,How did you use your CRM system daily to manage your $1.2M ARR quota?,,,
i190,Wrote the reconciliation service in Java against a Postgres database.,Describe a specific incident when the reconciliation service failed.,,,
i191,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",How did you build each account's success plan?,,,
i192,Ran KYC audits and reported exceptions to the risk committee.,What impact did freezing the client's account have on your compliance metrics?,,,
i193,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",What did the campus engagement calendar cover?,,,
i194,Ran workforce planning for a 24x7 contact centre.,How did you measure the success of your roster adjustments during the flu outbreak?,,,
i195,Owned the SQL reporting stack and a Looker dashboard suite for the commercial team.,How did you measure the time saved for the commercial team?,,,
i196,"HR generalist handling payroll, onboarding and exit formalities for two business units.",What steps did you take in the payroll system each month?,,,
i197,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,What did you do when weekly reporting slipped past Tuesday noon?,,,
i198,Drove a 30% improvement in CSAT scores across the entire process,How did you handle the client's 90% CSAT contractual minimum?,,,
i199,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",How did you calculate your roll-rate each month?,,,
i200,Grew ARR from $400K to $1.1M,What specific tasks did you perform daily in the CRM to track sales progress?,,,
i201,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",How did you measure the improvement in recovery rate?,,,
i202,Managed rosters for 42 agents across three shifts,What specific steps did you take in the system to adjust rosters for unexpected absences?,,,
