item_id,sub_type,tool_level,provenance,contested
i129,invented_tool,specifically_unentailed,constructed,0
i130,invented_outcome,,constructed,0
i131,none,,mined_negative,0
i132,none,,mined_negative,0
i133,invented_tool,generally_entailed,mined,0
i134,none,,mined_negative,0
i135,invented_tool,contested,mined,1
i136,invented_tool,generally_entailed,mined,0
i137,invented_tool,generally_entailed,mined,0
i138,none,,mined_negative,0
i139,none,,mined_negative,0
i140,invented_tool,specifically_unentailed,mined,0
i141,none,,mined_negative,0
i142,invented_outcome,,constructed,0
i143,none,,mined_negative,0
i144,invented_condition,,constructed,0
i145,none,,mined_negative,0
i146,none,,mined_negative,0
i147,none,,mined_negative,0
i148,none,,mined_negative,0
i149,none,,mined_negative,0
i150,invented_tool,generally_entailed,mined,0
i151,invented_artefact,,constructed,0
i152,invented_event,,constructed,0
i153,none,,mined_negative,0
i154,invented_tool,specifically_unentailed,constructed,0
i155,invented_tool,contested,mined,1
i156,invented_tool,generally_entailed,mined,0
i157,invented_tool,generally_entailed,mined,0
i158,invented_artefact,,constructed,0
i159,invented_metric,,constructed,0
i160,invented_tool,generally_entailed,mined,0
i161,invented_outcome,,constructed,0
i162,none,,mined_negative,0
i163,none,,mined_negative,0
i164,none,,mined_negative,0
i165,invented_metric,,constructed,0
i166,invented_tool,specifically_unentailed,constructed,0
i167,invented_event,,constructed,0
i168,invented_condition,,constructed,0
i169,none,,mined_negative,0
i170,none,,mined_negative,0
i171,invented_artefact,,mined,0
i172,invented_outcome,,constructed,0
i173,invented_condition,,constructed,0
i174,invented_metric,,mined,0
i175,invented_metric,,observed,0
i176,invented_artefact,,constructed,0
i177,invented_tool,generally_entailed,mined,0
i178,none,,mined_negative,0
i179,invented_metric,,mined,0
i180,invented_event,,constructed,0
i181,invented_outcome,,mined,0
i182,invented_tool,specifically_unentailed,observed,0
i183,invented_tool,contested,mined,1
i184,invented_tool,generally_entailed,mined,0
i185,none,,mined_negative,0
i186,none,,mined_negative,0
i187,none,,mined_negative,0
i188,invented_metric,,mined,0
i189,invented_tool,generally_entailed,observed,0
i190,none,,mined_negative,0
i191,invented_artefact,,constructed,0
i192,invented_metric,,mined,0
i193,invented_artefact,,constructed,0
i194,none,,mined_negative,0
i195,invented_outcome,,constructed,0
i196,invented_tool,generally_entailed,mined,0
i197,invented_condition,,constructed,0
i198,invented_condition,,constructed,0
i199,invented_metric,,constructed,0
i200,invented_tool,generally_entailed,mined,0
i201,invented_outcome,,constructed,0
i202,invented_tool,generally_entailed,mined,0
