row_id,interview_id,order_index,attempt_index,family,tier,probe_level,claim,question,validator_verdict,validator_rules,human_verdict,human_note,is_unsupported_premise_candidate,question_only_numerals,claim_len_words
r0050,s_355024110f,4,1,general,B,OUTCOME,Managed a team of 20 and improved process efficiency across the department over two years.,How did you measure the improvement in process efficiency?,accept,,accept,Reasonable outcome probe for process-efficiency work.,no,,15
r0051,s_37e2029106,0,1,product,A,VALIDATION,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,How many people were involved in rebuilding the first-run flow?,accept,,accept,Useful scope validation for the onboarding rebuild.,no,,14
r0053,s_07bb4208ed,1,2,data_analytics,B,DECISION,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",What factors did you consider when choosing dbt and Airflow for your ETL pipelines?,reject,duplicate_content,accept,Strong decision probe tied to an explicit technology choice.,no,,14
r0054,s_f55c0852ff,2,2,sales,B,OPERATIONAL,Carrying a quota of $1.2M ARR.,How did you use your CRM system daily to manage your $1.2M ARR quota?,reject,answer_leakage,reject,Hands back the exact $1.2M ARR figure.,no,,6
r0055,s_8d3e8a68ae,3,1,software_engineering,B,OUTCOME,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",How did you measure the success of the event pipelines after implementation?,reject,duplicate_content,accept,Good outcome probe for the event-pipeline work.,no,,14
r0056,s_007bf6b39c,4,1,hr_recruitment,B,OUTCOME,"Owned attrition, engagement surveys and the onboarding programme.",How did you measure the 20% improvement in employee satisfaction?,reject,no_claim_anchor,reject,Invents a 20% employee-satisfaction improvement not in the claim.,no,20,8
r0057,s_f55c0852ff,0,1,sales,B,VALIDATION,Carrying a quota of $1.2M ARR.,How long did you carry the $1.2M ARR quota?,reject,answer_leakage,reject,Hands back the exact $1.2M ARR figure.,no,,6
r0058,s_df85adf28b,0,1,customer_support,B,VALIDATION,Reduced reopen rate by a third.,How many cases did you handle to achieve this reduction?,reject,no_claim_anchor,accept,Useful scope validation through case volume.,no,,6
r0059,s_187b1e66e7,2,1,bpo_operations,A,VALIDATION,Held SLA attainment at 97% across four queues by rebuilding the roster model,How many queues did you manage to maintain the 97% SLA?,reject,answer_leakage,reject,Hands back the exact 97% SLA figure.,no,,13
r0060,s_37e2029106,6,1,product,A,DECISION,Ran 40 user interviews to find the top three pain points before writing the PRD,What criteria did you use to select the three top pain points from the interviews?,accept,,accept,Good decision probe about selecting top pain points.,no,,15
r0061,s_355024110f,3,1,general,B,DECISION,Managed a team of 20 and improved process efficiency across the department over two years.,What criteria did you use to decide which tasks to prioritize during the high-pressure week?,accept,,accept,Relevant decision probe for prioritization under pressure.,no,,15
r0062,s_46151c60a4,10,2,customer_support,B,OUTCOME,Ran the chat support queue.,What specific outcome showed your chat support queue management was successful?,accept,,accept,Clear outcome probe for queue-management success.,no,,5
r0063,s_37e2029106,1,1,product,A,VALIDATION,Ran 40 user interviews to find the top three pain points before writing the PRD,How long did each user interview last?,accept,,accept,Useful validation of interview execution details.,no,,15
r0064,s_70bd955e23,4,2,hr_recruitment,B,OUTCOME,Ran interview panels and reduced time to offer from 40 days to 22.,How did you measure the reduction in time to offer from 40 days to 22?,reject,answer_leakage,reject,Hands back the exact 40-day to 22-day figures.,no,,13
r0065,s_b78480a77e,11,1,bpo_operations,A,TRANSFER,Delivered a 30% improvement in AHT through advanced process optimisation,How would you use process optimisation to improve a team's CSAT scores?,accept,,accept,Legitimate transfer question applying process-optimization reasoning to CSAT.,no,,10
r0066,s_c016e3c3a1,2,1,product,A,VALIDATION,"Ran 18 experiments against a single north star metric, 5 of which shipped",How long did each of the 18 experiments take to run?,reject,answer_leakage|duplicate_content,accept,Useful scope validation for experiment duration.,no,,13
r0067,s_46151c60a4,6,1,customer_support,B,INCIDENT,Owned resolution time for P1 issues.,Describe a specific P1 issue that was hardest to resolve and what you did.,reject,answer_leakage,accept,Specific incident probe for claimed P1 responsibility.,no,,6
r0068,s_17dbc6576e,1,1,bpo_operations,B,INCIDENT,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,Describe a specific week when keeping occupancy above 85% was challenging.,reject,answer_leakage,accept,Specific incident probe about staffing difficulty.,no,,13
r0069,s_92da7c8747,4,1,banking_operations,B,OUTCOME,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.","What was the result of resolving discrepancies before month-end, and how did it impact your team's performance?",accept,,accept,Reasonable outcome probe for reconciliation work and its impact.,no,,11
r0070,s_8d3e8a68ae,2,1,software_engineering,B,INCIDENT,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",Tell me about a time when an event pipeline failed and how you fixed it.,accept,,accept,Good incident probe directly tied to the event-pipeline claim.,no,,14
r0071,s_028ee587fb,6,1,bpo_operations,B,INCIDENT,Managed rosters for 42 agents across three shifts,Describe a specific time when managing the roster for 42 agents went wrong.,reject,answer_leakage,reject,Hands back the exact 42-agent figure in an incident question.,no,,8
r0072,s_8f35d89aef,2,1,general,B,OPERATIONAL,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,What specific actions did you take in the project management tools during the transition?,accept,,accept,Relevant operational probe for the transition work.,no,,12
r0073,s_b78480a77e,10,1,bpo_operations,A,OPERATIONAL,Delivered a 30% improvement in AHT through advanced process optimisation,What were the daily steps you followed to achieve the 30% AHT improvement?,reject,answer_leakage,reject,Hands back the exact 30% AHT result.,no,,10
r0074,s_f55c0852ff,1,1,sales,B,VALIDATION,Built pipeline through outbound prospecting and closed 34 deals last year.,How many outbound prospects did you contact to close those 34 deals?,reject,answer_leakage,reject,Hands back the exact 34-deal figure while asking for another figure.,no,,11
r0075,s_fef962016f,3,1,bpo_operations,A,DECISION,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What criteria did you use to promote senior associates?,accept,,accept,Good decision probe for promotion criteria.,no,,16
r0076,s_801d8a609d,1,1,software_engineering,B,OPERATIONAL,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,What specific steps did you take each day to improve the ingestion service throughput?,accept,,accept,Strong operational probe into engineering execution.,no,,12
r0077,s_94cebba73f,0,1,bpo_operations,B,VALIDATION,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How many new hires did you manage in each nesting batch?,accept,,accept,Useful validation of nesting-batch scope.,no,,19
r0078,s_4bdb4bb3ec,0,1,customer_support,B,VALIDATION,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",How long did you manage the 60 enterprise accounts?,reject,answer_leakage,reject,Hands back the exact 60-account figure.,no,,15
r0079,s_92da7c8747,3,1,banking_operations,B,OPERATIONAL,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",Which system did you use for monthly reconciliation and what steps did you follow in it?,accept,,accept,Good operational probe for reconciliation execution.,no,,11
r0080,s_2d0d59e5c6,4,2,general,B,OUTCOME,Drove client engagement through structured quarterly reviews with each account owner.,How did you measure the success of these quarterly reviews?,reject,duplicate_content,accept,Relevant outcome probe for account-review activity.,no,,11
r0081,s_94cebba73f,4,1,bpo_operations,B,DECISION,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,What criteria did you use to decide when a new hire was ready for the production floor?,accept,,accept,Good decision probe for production-readiness criteria.,no,,19
r0082,s_1537475c95,10,1,bpo_operations,A,INCIDENT,Delivered a 30% improvement in AHT through advanced process optimisation,Describe a specific week when process optimization efforts failed to improve AHT.,accept,,accept,Specific failure probe directly tied to the AHT claim.,no,,10
r0083,s_b920556961,4,1,sales,B,OUTCOME,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",How did you measure the 40% revenue growth year on year?,reject,answer_leakage,reject,Hands back the exact 40% revenue-growth result.,no,,20
r0084,s_f13fc04da1,2,1,software_engineering,B,INCIDENT,Cut p95 latency from 900ms to 180ms.,Describe a specific incident where a change you made caused unexpected latency issues.,reject,multiple_fact_targets,accept,Specific incident probe without handing back the claimed latency figures.,no,,7
r0085,s_46151c60a4,5,2,customer_support,B,DECISION,Led the escalation desk for a SaaS product.,"What criteria did you use to prioritize P1 issues, and why?",reject,scope_drift,accept,Good decision probe for P1 prioritization.,no,,8
r0086,s_c7c47cf1fd,1,1,hr_recruitment,B,INCIDENT,Built a sourcing team of six and cut attrition in the first 90 days by half.,Describe a specific incident when attrition spiked unexpectedly after forming the team.,accept,,accept,Specific incident probe around the team-building claim.,no,,16
r0087,s_fef962016f,9,1,bpo_operations,A,TRANSFER,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,How would you reduce AHT in a team of 35 agents using your call script method?,accept,,accept,Valid transfer question applying the claimed method to a larger team.,no,35,14
r0088,s_9e729838a7,7,2,sales,B,OPERATIONAL,Ran the deal desk.,What specific steps did you take in Salesforce for pricing approvals?,reject,scope_drift,accept,Good operational decision probe for deal-desk work.,no,,4
r0089,s_187b1e66e7,10,1,bpo_operations,A,OPERATIONAL,Held SLA attainment at 97% across four queues by rebuilding the roster model,How did you use Excel to adjust staffing for peak hours?,reject,no_claim_anchor,accept,Relevant operational probe for staffing decisions.,no,,13
r0090,s_fef962016f,4,2,bpo_operations,A,OPERATIONAL,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What steps did you take in the system for daily attendance tracking?,reject,no_claim_anchor,accept,Useful operational probe for attendance tracking.,no,,16
r0091,s_39775f17f9,4,2,banking_operations,B,OUTCOME,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",How did you measure the success of your CASA growth strategies?,reject,duplicate_content,accept,Reasonable outcome probe for CASA growth.,no,,12
r0092,s_b78480a77e,4,1,bpo_operations,A,DECISION,Managed a team of 45 agents and consistently exceeded all CSAT targets,"What specific decision did you make to exceed CSAT targets, and why did you choose that over other options?",accept,,accept,Strong decision probe tied to the claimed CSAT responsibility.,no,,12
r0094,s_59521eb183,3,1,banking_operations,B,OPERATIONAL,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.","Which system did you use for account tracking, and what actions did you perform in it daily?",accept,,accept,Relevant operational probe for account tracking.,no,,17
r0095,s_11eaf9563c,8,1,bpo_operations,A,INCIDENT,Held SLA attainment at 97% across four queues by rebuilding the roster model,Describe a specific week when SLA dropped below 97% and what you did to fix it.,reject,answer_leakage,reject,Hands back the exact 97% SLA threshold in the incident question.,no,,13
r0096,s_d794e6ecd7,3,1,general,B,DECISION,Re-engineered the intake process and delivered rapid improvements in turnaround time.,What criteria did you use to prioritize changes during the re-engineering?,reject,duplicate_content,accept,Good decision probe tied to process re-engineering.,no,,11
r0097,s_007bf6b39c,0,1,hr_recruitment,B,VALIDATION,"Owned attrition, engagement surveys and the onboarding programme.",How long did you manage the onboarding program for the 400-person organization?,reject,answer_leakage,reject,Hands back a 400-person figure that is not stated in the claim.,no,400,8
r0098,s_b78480a77e,0,1,bpo_operations,A,VALIDATION,Managed a team of 45 agents and consistently exceeded all CSAT targets,How long did you manage the team of 45 agents?,reject,answer_leakage,reject,Hands back the exact 45-agent figure.,no,,12
r0099,s_c5531ce78a,4,1,product,B,OUTCOME,Cut churn by reworking the trial experience and tracked user retention against a north star metric.,What specific metric showed retention improvement and how did the trial changes directly impact it?,accept,,accept,Good outcome probe linking the trial changes to retention evidence.,no,,16
r0100,s_46151c60a4,3,1,customer_support,B,INCIDENT,Led the escalation desk for a SaaS product.,Describe a specific incident where a P1 issue wasn't resolved in 2 hours.,reject,no_claim_anchor,reject,Introduces a two-hour resolution threshold absent from the claim.,no,2,8
