row_id,claim,probe_level,question,human_verdict,human_note
r0038,Reduced AHT from 520 seconds to 430 seconds through script standardisation and coaching,DECISION,"What factors did you consider when deciding to standardise the script, and why did you reject others?",,
r0039,Ran KYC audits and reported exceptions to the risk committee.,INCIDENT,Describe a specific time when a KYC audit revealed a major exception. What happened next?,,
r0040,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",DECISION,What criteria did you use to decide which CASA growth initiatives to implement?,,
r0041,Delivered a 30% improvement in AHT through advanced process optimisation,TRANSFER,How would you apply process optimisation to manage a team of 45 agents and exceed CSAT targets?,,
r0042,Owned a pipeline of 80 prospects and hit quota six quarters running.,OUTCOME,How did you measure hitting your quota over the six quarters?,,
r0043,Managed a team of 22 agents and ran the daily huddle,VALIDATION,How long did you manage the team of agents?,,
r0044,Carrying a quota of $1.2M ARR.,DECISION,What criteria did you use to prioritize leads and why?,,
r0045,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,DECISION,What criteria did you use to decide which new hires needed more support?,,
r0046,Managed rosters for 42 agents across three shifts,VALIDATION,How long did you manage the rosters for the 42 agents?,,
r0047,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",INCIDENT,Describe a specific incident when a microservice failed in your pipeline. What happened?,,
r0048,Held SLA attainment at 97% across four queues by rebuilding the roster model,VALIDATION,How many queues were involved in maintaining the 97% SLA?,,
r0049,Held SLA attainment at 97% across four queues by rebuilding the roster model,OPERATIONAL,How did you use Excel to adjust the interval-level staffing for peak hours?,,
r0050,Grew ARR from $400K to $1.1M,OUTCOME,What was the most significant change you saw in conversion rates after implementing the targeted outreach campaign?,,
r0051,Ran weekly calibration with the quality team,VALIDATION,How many people were involved in the weekly calibration sessions?,,
r0052,Trained a demand forecast model and took it to production.,VALIDATION,How long did it take to train and deploy the demand forecast model?,,
r0053,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,VALIDATION,How long did you manage the 12-member support team?,,
r0054,Reduced reopen rate by a third.,DECISION,What made you decide to focus on the top ten issues instead of other areas?,,
r0055,"HR generalist handling payroll, onboarding and exit formalities for two business units.",VALIDATION,How many employees did you handle payroll for in these business units?,,
r0056,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",DECISION,"What criteria did you use to prioritize issues among the 60 accounts, and why?",,
r0057,HRBP for a 400-person org.,OUTCOME,How did you measure the 25% increase in new hire satisfaction?,,
r0058,Held SLA attainment at 97% across four queues by rebuilding the roster model,INCIDENT,Tell me about a week when maintaining 97% SLA was hardest.,,
r0059,Carrying a quota of $1.2M ARR.,OUTCOME,"What was the final ARR achieved, and what specific actions led to that result?",,
r0060,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,DECISION,What criteria did you use to decide which agents needed additional training?,,
r0061,HRBP for a 400-person org.,VALIDATION,How long did you work as an HRBP for the 400-person organization?,,
r0062,Held SLA attainment at 97% across four queues by rebuilding the roster model,VALIDATION,What was the size of the team you worked with on this initiative?,,
r0063,Closed 34 deals last year.,VALIDATION,What was the average deal size of the 34 deals you closed?,,
r0064,Carrying a quota of $1.2M ARR.,DECISION,What criteria did you use to prioritize leads for your $1.2M ARR quota?,,
r0065,Took escalation from tier 1 and tracked resolution time week over week.,VALIDATION,"How many escalations did you handle weekly, and what was the average resolution time?",,
r0066,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",OPERATIONAL,What was your daily routine for maintaining the ETL pipelines?,,
r0067,Built dashboards in Tableau and Power BI on top of a Snowflake warehouse.,OUTCOME,How did you measure the success of the dashboards you built?,,
r0068,Ran interview panels and reduced time to offer from 40 days to 22.,OUTCOME,How did you track the reduction from 40 to 22 days in your process?,,
r0069,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,OUTCOME,How did you measure and confirm the occupancy stayed above 85%?,,
r0070,Ran 40 user interviews to find the top three pain points before writing the PRD,INCIDENT,Describe a time when a user interview didn't reveal any new pain points.,,
r0071,Trained a demand forecast model and took it to production.,INCIDENT,Describe a specific time when the model's performance dropped unexpectedly after deployment. What happened?,,
r0072,"Ran the deal desk. Pricing approvals, quota planning and revenue forecast reviews for the field sales org.",OUTCOME,How did you measure the impact of your pricing approvals on revenue forecasts?,,
r0073,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,VALIDATION,How many insurance claims and mutual fund transactions did you process weekly?,,
r0074,Wrote the reconciliation service in Java against a Postgres database.,DECISION,What factors led you to choose Java for the reconciliation service?,,
r0075,Carrying a quota of $1.2M ARR.,INCIDENT,Tell me about a specific week when you struggled to hit your targets. What happened?,,
r0076,Cut p95 latency from 900ms to 180ms.,OPERATIONAL,What specific steps did you take each day to identify and fix the bottlenecks?,,
r0077,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,OPERATIONAL,How did you use the call handling system daily to maintain occupancy above 85%?,,
r0078,Led the escalation desk for a SaaS product.,OUTCOME,How did you measure the success of resolving P1 issues?,,
r0079,Grew ARR from $400K to $1.1M,VALIDATION,How long did it take to grow the ARR?,,
r0080,Led the escalation desk for a SaaS product.,DECISION,What factors did you consider when prioritizing escalations and why?,,
r0081,Managed a team of 45 agents and consistently exceeded all CSAT targets,TRANSFER,How would you improve CSAT scores by 30% across the process using a focus on quality?,,
r0082,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,OPERATIONAL,What specific actions did you perform in the system when processing a mutual fund transaction?,,
r0083,Managed rosters for 42 agents across three shifts,OPERATIONAL,What steps did you take in the performance tracking software daily?,,
r0084,Led the escalation desk for a SaaS product.,INCIDENT,Describe a specific P1 issue that was particularly challenging to resolve.,,
r0085,"Ran 18 experiments against a single north star metric, 5 of which shipped",VALIDATION,How long did each of the 18 experiments take from start to finish?,,
r0086,Managed a team of 45 agents and consistently exceeded all CSAT targets,DECISION,What decision did you make to improve CSAT when standards were maintained but targets were missed?,,
r0087,Reduced reopen rate by a third.,OPERATIONAL,What specific actions did you take in the system to analyze the top ten issues?,,
r0088,Cut first response time from 9 hours to under 2.,OUTCOME,How did you measure the reduction in response time after implementing changes?,,
r0089,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",VALIDATION,How long did you manage the 60 enterprise accounts?,,
r0090,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,VALIDATION,How long did you manage the team of 35 agents?,,
r0091,"HR generalist handling payroll, onboarding and exit formalities for two business units.",OUTCOME,How did you measure the success of your onboarding processes?,,
r0092,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,OPERATIONAL,What specific actions did you take daily in the system to maintain occupancy above 85%?,,
r0093,Managed rosters for 42 agents across three shifts,DECISION,"What factors influenced your decision to adjust agent shifts, and what was the outcome?",,
r0094,Delivered a 30% improvement in AHT through advanced process optimisation,TRANSFER,How would you apply process optimization to manage a team of 45 agents to consistently exceed CSAT targets?,,
r0095,Wrote macros for the top ten issue types.,DECISION,What factors led you to decide a macro needed updating after initial implementation?,,
r0096,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",OPERATIONAL,"What specific systems did you use daily for NPA recovery, and how did you use them?",,
r0097,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,DECISION,"What criteria did you use to qualify leads, and why did you choose those?",,
r0098,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",DECISION,"What factors did you consider when choosing initiatives to boost deposits, and why did you reject others?",,
r0099,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",INCIDENT,Tell me about a time an Airflow DAG failed and how you resolved it.,,
r0100,Reduced AHT from 520 seconds to 430 seconds through script standardisation and coaching,OPERATIONAL,What specific actions did you take in Genesys to reduce AHT?,,
