row_id,claim,probe_level,question,human_verdict,human_note
r0054,Carrying a quota of $1.2M ARR.,OPERATIONAL,How did you use your CRM system daily to manage your $1.2M ARR quota?,reject,Hands back the exact $1.2M ARR figure.
r0055,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",OUTCOME,How did you measure the success of the event pipelines after implementation?,accept,Good outcome probe for the event-pipeline work.
r0056,"Owned attrition, engagement surveys and the onboarding programme.",OUTCOME,How did you measure the 20% improvement in employee satisfaction?,reject,Invents a 20% employee-satisfaction improvement not in the claim.
r0057,Carrying a quota of $1.2M ARR.,VALIDATION,How long did you carry the $1.2M ARR quota?,reject,Hands back the exact $1.2M ARR figure.
r0058,Reduced reopen rate by a third.,VALIDATION,How many cases did you handle to achieve this reduction?,accept,Useful scope validation through case volume.
r0059,Held SLA attainment at 97% across four queues by rebuilding the roster model,VALIDATION,How many queues did you manage to maintain the 97% SLA?,reject,Hands back the exact 97% SLA figure.
r0060,Ran 40 user interviews to find the top three pain points before writing the PRD,DECISION,What criteria did you use to select the three top pain points from the interviews?,accept,Good decision probe about selecting top pain points.
r0061,Managed a team of 20 and improved process efficiency across the department over two years.,DECISION,What criteria did you use to decide which tasks to prioritize during the high-pressure week?,accept,Relevant decision probe for prioritization under pressure.
r0062,Ran the chat support queue.,OUTCOME,What specific outcome showed your chat support queue management was successful?,accept,Clear outcome probe for queue-management success.
r0063,Ran 40 user interviews to find the top three pain points before writing the PRD,VALIDATION,How long did each user interview last?,accept,Useful validation of interview execution details.
r0064,Ran interview panels and reduced time to offer from 40 days to 22.,OUTCOME,How did you measure the reduction in time to offer from 40 days to 22?,reject,Hands back the exact 40-day to 22-day figures.
r0065,Delivered a 30% improvement in AHT through advanced process optimisation,TRANSFER,How would you use process optimisation to improve a team's CSAT scores?,accept,Legitimate transfer question applying process-optimization reasoning to CSAT.
r0066,"Ran 18 experiments against a single north star metric, 5 of which shipped",VALIDATION,How long did each of the 18 experiments take to run?,accept,Useful scope validation for experiment duration.
r0067,Owned resolution time for P1 issues.,INCIDENT,Describe a specific P1 issue that was hardest to resolve and what you did.,accept,Specific incident probe for claimed P1 responsibility.
r0068,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,INCIDENT,Describe a specific week when keeping occupancy above 85% was challenging.,accept,Specific incident probe about staffing difficulty.
r0069,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",OUTCOME,"What was the result of resolving discrepancies before month-end, and how did it impact your team's performance?",accept,Reasonable outcome probe for reconciliation work and its impact.
r0070,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",INCIDENT,Tell me about a time when an event pipeline failed and how you fixed it.,accept,Good incident probe directly tied to the event-pipeline claim.
r0071,Managed rosters for 42 agents across three shifts,INCIDENT,Describe a specific time when managing the roster for 42 agents went wrong.,reject,Hands back the exact 42-agent figure in an incident question.
r0072,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,OPERATIONAL,What specific actions did you take in the project management tools during the transition?,accept,Relevant operational probe for the transition work.
r0073,Delivered a 30% improvement in AHT through advanced process optimisation,OPERATIONAL,What were the daily steps you followed to achieve the 30% AHT improvement?,reject,Hands back the exact 30% AHT result.
r0074,Built pipeline through outbound prospecting and closed 34 deals last year.,VALIDATION,How many outbound prospects did you contact to close those 34 deals?,reject,Hands back the exact 34-deal figure while asking for another figure.
r0075,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,DECISION,What criteria did you use to promote senior associates?,accept,Good decision probe for promotion criteria.
r0076,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,OPERATIONAL,What specific steps did you take each day to improve the ingestion service throughput?,accept,Strong operational probe into engineering execution.
r0077,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,VALIDATION,How many new hires did you manage in each nesting batch?,accept,Useful validation of nesting-batch scope.
r0078,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",VALIDATION,How long did you manage the 60 enterprise accounts?,reject,Hands back the exact 60-account figure.
r0079,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",OPERATIONAL,Which system did you use for monthly reconciliation and what steps did you follow in it?,accept,Good operational probe for reconciliation execution.
r0080,Drove client engagement through structured quarterly reviews with each account owner.,OUTCOME,How did you measure the success of these quarterly reviews?,accept,Relevant outcome probe for account-review activity.
r0081,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,DECISION,What criteria did you use to decide when a new hire was ready for the production floor?,accept,Good decision probe for production-readiness criteria.
r0082,Delivered a 30% improvement in AHT through advanced process optimisation,INCIDENT,Describe a specific week when process optimization efforts failed to improve AHT.,accept,Specific failure probe directly tied to the AHT claim.
r0083,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",OUTCOME,How did you measure the 40% revenue growth year on year?,reject,Hands back the exact 40% revenue-growth result.
r0084,Cut p95 latency from 900ms to 180ms.,INCIDENT,Describe a specific incident where a change you made caused unexpected latency issues.,accept,Specific incident probe without handing back the claimed latency figures.
r0085,Led the escalation desk for a SaaS product.,DECISION,"What criteria did you use to prioritize P1 issues, and why?",accept,Good decision probe for P1 prioritization.
r0086,Built a sourcing team of six and cut attrition in the first 90 days by half.,INCIDENT,Describe a specific incident when attrition spiked unexpectedly after forming the team.,accept,Specific incident probe around the team-building claim.
r0087,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,TRANSFER,How would you reduce AHT in a team of 35 agents using your call script method?,accept,Valid transfer question applying the claimed method to a larger team.
r0088,Ran the deal desk.,OPERATIONAL,What specific steps did you take in Salesforce for pricing approvals?,accept,Good operational decision probe for deal-desk work.
r0089,Held SLA attainment at 97% across four queues by rebuilding the roster model,OPERATIONAL,How did you use Excel to adjust staffing for peak hours?,accept,Relevant operational probe for staffing decisions.
r0090,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,OPERATIONAL,What steps did you take in the system for daily attendance tracking?,accept,Useful operational probe for attendance tracking.
r0091,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",OUTCOME,How did you measure the success of your CASA growth strategies?,accept,Reasonable outcome probe for CASA growth.
r0092,Managed a team of 45 agents and consistently exceeded all CSAT targets,DECISION,"What specific decision did you make to exceed CSAT targets, and why did you choose that over other options?",accept,Strong decision probe tied to the claimed CSAT responsibility.
r0093,"Owned attrition, engagement surveys and the onboarding programme.",OPERATIONAL,What specific actions did you take in the system to manage attrition?,reject,Assumes a system for attrition management that the claim never names.
r0094,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",OPERATIONAL,"Which system did you use for account tracking, and what actions did you perform in it daily?",accept,Relevant operational probe for account tracking.
r0095,Held SLA attainment at 97% across four queues by rebuilding the roster model,INCIDENT,Describe a specific week when SLA dropped below 97% and what you did to fix it.,reject,Hands back the exact 97% SLA threshold in the incident question.
r0096,Re-engineered the intake process and delivered rapid improvements in turnaround time.,DECISION,What criteria did you use to prioritize changes during the re-engineering?,accept,Good decision probe tied to process re-engineering.
r0097,"Owned attrition, engagement surveys and the onboarding programme.",VALIDATION,How long did you manage the onboarding program for the 400-person organization?,reject,Hands back a 400-person figure that is not stated in the claim.
r0098,Managed a team of 45 agents and consistently exceeded all CSAT targets,VALIDATION,How long did you manage the team of 45 agents?,reject,Hands back the exact 45-agent figure.
r0099,Cut churn by reworking the trial experience and tracked user retention against a north star metric.,OUTCOME,What specific metric showed retention improvement and how did the trial changes directly impact it?,accept,Good outcome probe linking the trial changes to retention evidence.
r0100,Led the escalation desk for a SaaS product.,INCIDENT,Describe a specific incident where a P1 issue wasn't resolved in 2 hours.,reject,Introduces a two-hour resolution threshold absent from the claim.
