row_id,interview_id,attempt_index,stratum,validation_result,violations,primary_rule,family,tier,source
r0062,s_46151c60a4,2,accept,accept,,,customer_support,B,regenerated
r0063,s_37e2029106,1,accept,accept,,,product,A,model
r0064,s_70bd955e23,2,reject,reject,answer_leakage,answer_leakage,hr_recruitment,B,
r0065,s_b78480a77e,1,accept,accept,,,bpo_operations,A,model
r0066,s_c016e3c3a1,1,reject,reject,answer_leakage|duplicate_content,answer_leakage,product,A,
r0067,s_46151c60a4,1,reject,reject,answer_leakage,answer_leakage,customer_support,B,
r0068,s_17dbc6576e,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,B,
r0069,s_92da7c8747,1,accept,accept,,,banking_operations,B,model
r0070,s_8d3e8a68ae,1,accept,accept,,,software_engineering,B,model
r0071,s_028ee587fb,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,B,
r0072,s_8f35d89aef,1,accept,accept,,,general,B,model
r0073,s_b78480a77e,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0074,s_f55c0852ff,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0075,s_fef962016f,1,accept,accept,,,bpo_operations,A,model
r0076,s_801d8a609d,1,accept,accept,,,software_engineering,B,model
r0077,s_94cebba73f,1,accept,accept,,,bpo_operations,B,model
r0078,s_4bdb4bb3ec,1,reject,reject,answer_leakage,answer_leakage,customer_support,B,
r0079,s_92da7c8747,1,accept,accept,,,banking_operations,B,model
r0080,s_2d0d59e5c6,2,reject,reject,duplicate_content,duplicate_content,general,B,
r0081,s_94cebba73f,1,accept,accept,,,bpo_operations,B,model
r0082,s_1537475c95,1,accept,accept,,,bpo_operations,A,model
r0083,s_b920556961,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0084,s_f13fc04da1,1,reject,reject,multiple_fact_targets,multiple_fact_targets,software_engineering,B,
r0085,s_46151c60a4,2,reject,reject,scope_drift,scope_drift,customer_support,B,
r0086,s_c7c47cf1fd,1,accept,accept,,,hr_recruitment,B,model
r0087,s_fef962016f,1,accept,accept,,,bpo_operations,A,model
r0088,s_9e729838a7,2,reject,reject,scope_drift,scope_drift,sales,B,
r0089,s_187b1e66e7,1,reject,reject,no_claim_anchor,no_claim_anchor,bpo_operations,A,
r0090,s_fef962016f,2,reject,reject,no_claim_anchor,no_claim_anchor,bpo_operations,A,
r0091,s_39775f17f9,2,reject,reject,duplicate_content,duplicate_content,banking_operations,B,
r0092,s_b78480a77e,1,accept,accept,,,bpo_operations,A,model
r0093,s_007bf6b39c,1,accept,accept,,,hr_recruitment,B,model
r0094,s_59521eb183,1,accept,accept,,,banking_operations,B,model
r0095,s_11eaf9563c,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0096,s_d794e6ecd7,1,reject,reject,duplicate_content,duplicate_content,general,B,
r0097,s_007bf6b39c,1,reject,reject,answer_leakage,answer_leakage,hr_recruitment,B,
r0098,s_b78480a77e,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0099,s_c5531ce78a,1,accept,accept,,,product,B,model
r0100,s_46151c60a4,1,reject,reject,no_claim_anchor,no_claim_anchor,customer_support,B,
