row_id,claim,probe_level,question,human_verdict,human_note
r0036,Reduced reopen rate by a third.,OPERATIONAL,What specific steps did you take each day to monitor and adjust the macros?,,
r0037,Ran 40 user interviews to find the top three pain points before writing the PRD,OPERATIONAL,What specific actions did you take in the transcription tool during the interviews?,,
r0038,Reduced reopen rate by a third.,OUTCOME,How did you measure the reduction in reopen rate to confirm it was a third?,,
r0039,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,DECISION,"What criteria did you use to prioritize leads, and why did you choose those over others?",,
r0040,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,VALIDATION,How many team members were involved in reducing AHT and maintaining occupancy?,,
r0041,Coached four inside sales reps on closing technique,OUTCOME,How did you ensure the increase in conversion rate was due to your coaching?,,
r0042,Owned a pipeline of 80 prospects and hit quota six quarters running.,DECISION,What criteria did you use to decide which prospects to focus on when leads went silent?,,
r0043,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",VALIDATION,How many vendors did you coordinate with regularly?,,
r0044,Managed a team of 22 agents and ran the daily huddle,INCIDENT,Describe a specific incident when the daily huddle didn't go as planned.,,
r0045,Ran the chat support queue.,OUTCOME,How did you measure success in managing the chat support queue?,,
r0046,Ran 40 user interviews to find the top three pain points before writing the PRD,OPERATIONAL,What steps did you take each day to prepare for the user interviews?,,
r0047,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",INCIDENT,Describe a specific time when a vendor issue delayed your work.,,
r0048,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",VALIDATION,How long did you work on NPA recovery for those 300 accounts?,,
r0049,Managed a team of 45 agents and consistently exceeded all CSAT targets,DECISION,"What decision did you make that most improved CSAT, and why did you choose that over other options?",,
r0050,Managed a team of 20 and improved process efficiency across the department over two years.,OUTCOME,How did you measure the improvement in process efficiency?,,
r0051,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,VALIDATION,How many people were involved in rebuilding the first-run flow?,,
r0052,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,DECISION,What factors led you to prioritize updating project management tools over other tasks?,,
r0053,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",DECISION,What factors did you consider when choosing dbt and Airflow for your ETL pipelines?,,
r0054,Carrying a quota of $1.2M ARR.,OPERATIONAL,How did you use your CRM system daily to manage your $1.2M ARR quota?,,
r0055,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",OUTCOME,How did you measure the success of the event pipelines after implementation?,,
r0056,"Owned attrition, engagement surveys and the onboarding programme.",OUTCOME,How did you measure the 20% improvement in employee satisfaction?,,
r0057,Carrying a quota of $1.2M ARR.,VALIDATION,How long did you carry the $1.2M ARR quota?,,
r0058,Reduced reopen rate by a third.,VALIDATION,How many cases did you handle to achieve this reduction?,,
r0059,Held SLA attainment at 97% across four queues by rebuilding the roster model,VALIDATION,How many queues did you manage to maintain the 97% SLA?,,
r0060,Ran 40 user interviews to find the top three pain points before writing the PRD,DECISION,What criteria did you use to select the three top pain points from the interviews?,,
r0061,Managed a team of 20 and improved process efficiency across the department over two years.,DECISION,What criteria did you use to decide which tasks to prioritize during the high-pressure week?,,
r0062,Ran the chat support queue.,OUTCOME,What specific outcome showed your chat support queue management was successful?,,
r0063,Ran 40 user interviews to find the top three pain points before writing the PRD,VALIDATION,How long did each user interview last?,,
r0064,Ran interview panels and reduced time to offer from 40 days to 22.,OUTCOME,How did you measure the reduction in time to offer from 40 days to 22?,,
r0065,Delivered a 30% improvement in AHT through advanced process optimisation,TRANSFER,How would you use process optimisation to improve a team's CSAT scores?,,
r0066,"Ran 18 experiments against a single north star metric, 5 of which shipped",VALIDATION,How long did each of the 18 experiments take to run?,,
r0067,Owned resolution time for P1 issues.,INCIDENT,Describe a specific P1 issue that was hardest to resolve and what you did.,,
r0068,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,INCIDENT,Describe a specific week when keeping occupancy above 85% was challenging.,,
r0069,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",OUTCOME,"What was the result of resolving discrepancies before month-end, and how did it impact your team's performance?",,
r0070,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",INCIDENT,Tell me about a time when an event pipeline failed and how you fixed it.,,
r0071,Managed rosters for 42 agents across three shifts,INCIDENT,Describe a specific time when managing the roster for 42 agents went wrong.,,
r0072,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,OPERATIONAL,What specific actions did you take in the project management tools during the transition?,,
r0073,Delivered a 30% improvement in AHT through advanced process optimisation,OPERATIONAL,What were the daily steps you followed to achieve the 30% AHT improvement?,,
r0074,Built pipeline through outbound prospecting and closed 34 deals last year.,VALIDATION,How many outbound prospects did you contact to close those 34 deals?,,
r0075,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,DECISION,What criteria did you use to promote senior associates?,,
r0076,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,OPERATIONAL,What specific steps did you take each day to improve the ingestion service throughput?,,
r0077,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,VALIDATION,How many new hires did you manage in each nesting batch?,,
r0078,"Customer success manager for 60 enterprise accounts, working mostly out of Freshdesk and email support.",VALIDATION,How long did you manage the 60 enterprise accounts?,,
r0079,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",OPERATIONAL,Which system did you use for monthly reconciliation and what steps did you follow in it?,,
r0080,Drove client engagement through structured quarterly reviews with each account owner.,OUTCOME,How did you measure the success of these quarterly reviews?,,
r0081,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,DECISION,What criteria did you use to decide when a new hire was ready for the production floor?,,
r0082,Delivered a 30% improvement in AHT through advanced process optimisation,INCIDENT,Describe a specific week when process optimization efforts failed to improve AHT.,,
r0083,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",OUTCOME,How did you measure the 40% revenue growth year on year?,,
r0084,Cut p95 latency from 900ms to 180ms.,INCIDENT,Describe a specific incident where a change you made caused unexpected latency issues.,,
r0085,Led the escalation desk for a SaaS product.,DECISION,"What criteria did you use to prioritize P1 issues, and why?",,
r0086,Built a sourcing team of six and cut attrition in the first 90 days by half.,INCIDENT,Describe a specific incident when attrition spiked unexpectedly after forming the team.,,
r0087,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,TRANSFER,How would you reduce AHT in a team of 35 agents using your call script method?,,
r0088,Ran the deal desk.,OPERATIONAL,What specific steps did you take in Salesforce for pricing approvals?,,
r0089,Held SLA attainment at 97% across four queues by rebuilding the roster model,OPERATIONAL,How did you use Excel to adjust staffing for peak hours?,,
r0090,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,OPERATIONAL,What steps did you take in the system for daily attendance tracking?,,
r0091,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",OUTCOME,How did you measure the success of your CASA growth strategies?,,
r0092,Managed a team of 45 agents and consistently exceeded all CSAT targets,DECISION,"What specific decision did you make to exceed CSAT targets, and why did you choose that over other options?",,
r0093,"Owned attrition, engagement surveys and the onboarding programme.",OPERATIONAL,What specific actions did you take in the system to manage attrition?,,
r0094,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",OPERATIONAL,"Which system did you use for account tracking, and what actions did you perform in it daily?",,
r0095,Held SLA attainment at 97% across four queues by rebuilding the roster model,INCIDENT,Describe a specific week when SLA dropped below 97% and what you did to fix it.,,
r0096,Re-engineered the intake process and delivered rapid improvements in turnaround time.,DECISION,What criteria did you use to prioritize changes during the re-engineering?,,
r0097,"Owned attrition, engagement surveys and the onboarding programme.",VALIDATION,How long did you manage the onboarding program for the 400-person organization?,,
r0098,Managed a team of 45 agents and consistently exceeded all CSAT targets,VALIDATION,How long did you manage the team of 45 agents?,,
r0099,Cut churn by reworking the trial experience and tracked user retention against a north star metric.,OUTCOME,What specific metric showed retention improvement and how did the trial changes directly impact it?,,
r0100,Led the escalation desk for a SaaS product.,INCIDENT,Describe a specific incident where a P1 issue wasn't resolved in 2 hours.,,
